2020-03-05,113.98,#REF!,#REF!,#REF!,,,
2020-03-06,115.27,1.29,1.29,,,,
2020-03-09,104.35,-10.92,,10.92,,,
2020-03-10,111.46,7.11,7.11,,,,
2020-03-11,105.51,-5.95,,5.95,,,
2020-03-12,91.81,-13.7,,13.7,,,
2020-03-13,102.52,10.71,10.71,,,,
2020-03-16,95.01,-7.51,,7.51,,,
2020-03-17,93.53,-1.48,,1.48,,,
2020-03-18,88.8,-4.73,,4.73,,,
2020-03-19,94.93,6.13,6.13,,,,
2020-03-20,85.98,-8.95,,8.95,,,
2020-03-23,85.76,-0.22,,0.22,,,
2020-03-24,98.12,12.36,12.36,,,,
2020-03-25,100.73,2.61,2.61,,,,
2020-03-26,105.36,4.63,4.63,,,,
2020-03-27,96.4,-8.96,,8.96,,,
2020-03-30,99.8,3.4,3.4,,,,
2020-03-31,96.6,-3.2,,3.2,,,
2020-04-01,94.92,-1.68,,1.68,,,
2020-04-02,96.97,2.05,2.05,,,,
2020-04-03,93.88,-3.09,,3.09,,,
2020-04-06,99.58,5.7,5.7,,,,
2020-04-07,101.24,1.66,1.66,,,,
2020-04-08,101.07,-0.17,,0.17,,,
2020-04-09,104.5,3.43,3.43,,,,
2020-04-13,103.5,-1,,1,,,
2020-04-14,106.03,2.53,2.53,,,,
2020-04-15,103.37,-2.66,,2.66,,,
2020-04-16,102.02,-1.35,,1.35,,,
2020-04-17,106.63,4.61,4.61,,,,
2020-04-20,102.26,-4.37,,4.37,,,
2020-04-21,100.54,-1.72,,1.72,,,
2020-04-22,100.99,0.45,0.45,,,,
2020-04-23,101,0.01,0.01,,,,
2020-04-24,101.19,0.19,0.19,,,,
2020-04-27,106.06,4.87,4.87,,,,
2020-04-28,106.21,0.15,0.15,,,,
2020-04-29,112.25,6.04,6.04,,,,
2020-04-30,108.15,-4.1,,4.1,,,
2020-05-01,105.5,-2.65,,2.65,,,
2020-05-04,103.18,-2.32,,2.32,,,
2020-05-05,105.01,1.83,1.83,,,109.43,
,,,2.26875,2.751666667,,,
TEST RS,,0.824500303,,,,,
,,,,,,,
TEST RSI,,45.19047224,,,,54,56.33
CALC'd RSI,,38.948337,,,,,
DIFF,,6.242135238,,,,,
