Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,AAPL,89.49,87.68,89.42,87.73,87.7
2016-02-01,AAPL,87.68,89.42,90.14,88.65,90.18
2016-02-02,AAPL,89.42,90.14,87.73,88.64,91.56
2016-02-03,AAPL,90.14,87.73,88.65,87.96,89.82
2016-02-04,AAPL,87.73,88.65,88.64,87.43,89.62
2016-02-05,AAPL,88.65,88.64,87.96,87.7,90.4
2016-02-08,AAPL,88.64,87.96,87.43,90.18,88.36
2016-02-09,AAPL,87.96,87.43,87.7,91.56,89.67
2016-02-10,AAPL,87.43,87.7,90.18,89.82,90.29
2016-02-11,AAPL,87.7,90.18,91.56,89.62,90.43
2016-02-12,AAPL,90.18,91.56,89.82,90.4,90.22
2016-02-16,AAPL,91.56,89.82,89.62,88.36,93.81
2016-02-17,AAPL,89.82,89.62,90.4,89.67,94.01
2016-02-18,AAPL,89.62,90.4,88.36,90.29,94.71
2016-02-19,AAPL,90.4,88.36,89.67,90.43,96.12
2016-02-22,AAPL,88.36,89.67,90.29,90.22,95.06
2016-02-23,AAPL,89.67,90.29,90.43,93.81,94.27
2016-02-24,AAPL,90.29,90.43,90.22,94.01,94.36
2016-02-25,AAPL,90.43,90.22,93.81,94.71,94.4
2016-02-26,AAPL,90.22,93.81,94.01,96.12,95.42
2016-02-29,AAPL,93.81,94.01,94.71,95.06,95.66
2016-03-01,AAPL,94.01,94.71,96.12,94.27,97.58
2016-03-02,AAPL,94.71,96.12,95.06,94.36,98.88
2016-03-03,AAPL,96.12,95.06,94.27,94.4,98.72
2016-03-04,AAPL,95.06,94.27,94.36,95.42,98.83
2016-03-07,AAPL,94.27,94.36,94.4,95.66,98.83
2016-03-08,AAPL,94.36,94.4,95.42,97.58,99.58
2016-03-09,AAPL,94.4,95.42,95.66,98.88,99.03
2016-03-10,AAPL,95.42,95.66,97.58,98.72,98.6
2016-03-11,AAPL,95.66,97.58,98.88,98.83,98.15
2016-03-14,AAPL,97.58,98.88,98.72,98.83,100.48
2016-03-15,AAPL,98.88,98.72,98.83,99.58,102.23
2016-03-16,AAPL,98.72,98.83,98.83,99.03,101.7
2016-03-17,AAPL,98.83,98.83,99.58,98.6,102.63
2016-03-18,AAPL,98.83,99.58,99.03,98.15,103.69
2016-03-21,AAPL,99.58,99.03,98.6,100.48,102.46
2016-03-22,AAPL,99.03,98.6,98.15,102.23,103.54
2016-03-23,AAPL,98.6,98.15,100.48,101.7,101.28
2016-03-24,AAPL,98.15,100.48,102.23,102.63,101.39
2016-03-28,AAPL,100.48,102.23,101.7,103.69,101.73
2016-03-29,AAPL,102.23,101.7,102.63,102.46,103.05
2016-03-30,AAPL,101.7,102.63,103.69,103.54,104.55
2016-03-31,AAPL,102.63,103.69,102.46,101.28,104.6
2016-04-01,AAPL,103.69,102.46,103.54,101.39,102.5
2016-04-04,AAPL,102.46,103.54,101.28,101.73,100.29
2016-04-05,AAPL,103.54,101.28,101.39,103.05,99.76
2016-04-06,AAPL,101.28,101.39,101.73,104.55,99.96
2016-04-07,AAPL,101.39,101.73,103.05,104.6,98.88
2016-04-08,AAPL,101.73,103.05,104.55,102.5,98.61
2016-04-11,AAPL,103.05,104.55,104.6,100.29,98.05
2016-04-12,AAPL,104.55,104.6,102.5,99.76,97.37
2016-04-13,AAPL,104.6,102.5,100.29,99.96,91.28
2016-04-14,AAPL,102.5,100.29,99.76,98.88,88.49
2016-04-15,AAPL,100.29,99.76,99.96,98.61,87.47
2016-04-18,AAPL,99.76,99.96,98.88,98.05,87.38
2016-04-19,AAPL,99.96,98.88,98.61,97.37,88.81
2016-04-20,AAPL,98.88,98.61,98.05,91.28,87.89
2016-04-21,AAPL,98.61,98.05,97.37,88.49,87.53
2016-04-22,AAPL,98.05,97.37,91.28,87.47,87.04
2016-04-25,AAPL,97.37,91.28,88.49,87.38,87.11
2016-04-26,AAPL,91.28,88.49,87.47,88.81,87.7
2016-04-27,AAPL,88.49,87.47,87.38,87.89,86.85
2016-04-28,AAPL,87.47,87.38,88.81,87.53,84.81
2016-04-29,AAPL,87.38,88.81,87.89,87.04,84.98
2016-05-02,AAPL,88.81,87.89,87.53,87.11,88.13
2016-05-03,AAPL,87.89,87.53,87.04,87.7,87.77
2016-05-04,AAPL,87.53,87.04,87.11,86.85,88.77
2016-05-05,AAPL,87.04,87.11,87.7,84.81,88.43
2016-05-06,AAPL,87.11,87.7,86.85,84.98,89.39
2016-05-09,AAPL,87.7,86.85,84.81,88.13,90.53
2016-05-10,AAPL,86.85,84.81,84.98,87.77,91.91
2016-05-11,AAPL,84.81,84.98,88.13,88.77,93.52
2016-05-12,AAPL,84.98,88.13,87.77,88.43,94.26
2016-05-13,AAPL,88.13,87.77,88.77,89.39,94.21
2016-05-16,AAPL,87.77,88.77,88.43,90.53,93.75
2016-05-17,AAPL,88.77,88.43,89.39,91.91,92.43
2016-05-18,AAPL,88.43,89.39,90.53,93.52,91.74
2016-05-19,AAPL,89.39,90.53,91.91,94.26,91.93
2016-05-20,AAPL,90.53,91.91,93.52,94.21,92.59
2016-05-23,AAPL,91.91,93.52,94.26,93.75,92.97
2016-05-24,AAPL,93.52,94.26,94.21,92.43,92.88
2016-05-25,AAPL,94.26,94.21,93.75,91.74,93.55
2016-05-26,AAPL,94.21,93.75,92.43,91.93,92.78
2016-05-27,AAPL,93.75,92.43,91.74,92.59,91.38
2016-05-31,AAPL,92.43,91.74,91.93,92.97,91.49
2016-06-01,AAPL,91.74,91.93,92.59,92.88,91.19
2016-06-02,AAPL,91.93,92.59,92.97,93.55,91.58
2016-06-03,AAPL,92.59,92.97,92.88,92.78,89.49
2016-06-06,AAPL,92.97,92.88,93.55,91.38,89.28
2016-06-07,AAPL,92.88,93.55,92.78,91.49,90.04
2016-06-08,AAPL,93.55,92.78,91.38,91.19,89.7
2016-06-09,AAPL,92.78,91.38,91.49,91.58,90.22
2016-06-10,AAPL,91.38,91.49,91.19,89.49,87.68
2016-06-13,AAPL,91.49,91.19,91.58,89.28,86.41
2016-06-14,AAPL,91.19,91.58,89.49,90.04,87.86
2016-06-15,AAPL,91.58,89.49,89.28,89.7,88.62
2016-06-16,AAPL,89.49,89.28,90.04,90.22,89.75
2016-06-17,AAPL,89.28,90.04,89.7,87.68,90.02
2016-06-20,AAPL,90.04,89.7,90.22,86.41,89.18
2016-06-21,AAPL,89.7,90.22,87.68,87.86,89.68
2016-06-22,AAPL,90.22,87.68,86.41,88.62,90.07
2016-06-23,AAPL,87.68,86.41,87.86,89.75,90.76
2016-06-24,AAPL,86.41,87.86,88.62,90.02,91.04
2016-06-27,AAPL,87.86,88.62,89.75,89.18,91.46
2016-06-28,AAPL,88.62,89.75,90.02,89.68,90.94
2016-06-29,AAPL,89.75,90.02,89.18,90.07,92.74
2016-06-30,AAPL,90.02,89.18,89.68,90.76,92.73
2016-07-01,AAPL,89.18,89.68,90.07,91.04,93.72
2016-07-05,AAPL,89.68,90.07,90.76,91.46,93.76
2016-07-06,AAPL,90.07,90.76,91.04,90.94,93.84
2016-07-07,AAPL,90.76,91.04,91.46,92.74,93.34
2016-07-08,AAPL,91.04,91.46,90.94,92.73,92.62
2016-07-11,AAPL,91.46,90.94,92.74,93.72,91.38
2016-07-12,AAPL,90.94,92.74,92.73,93.76,90.75
2016-07-13,AAPL,92.74,92.73,93.72,93.84,96.65
2016-07-14,AAPL,92.73,93.72,93.76,93.34,97.95
2016-07-15,AAPL,93.72,93.76,93.84,92.62,97.83
2016-07-18,AAPL,93.76,93.84,93.34,91.38,99.56
2016-07-19,AAPL,93.84,93.34,92.62,90.75,98.08
2016-07-20,AAPL,93.34,92.62,91.38,96.65,99.31
2016-07-21,AAPL,92.62,91.38,90.75,97.95,99.93
2016-07-22,AAPL,91.38,90.75,96.65,97.83,101.45
2016-07-25,AAPL,90.75,96.65,97.95,99.56,102.29
2016-07-26,AAPL,96.65,97.95,97.83,98.08,102.7
2016-07-27,AAPL,97.95,97.83,99.56,99.31,101.94
2016-07-28,AAPL,97.83,99.56,98.08,99.93,101.87
2016-07-29,AAPL,99.56,98.08,99.31,101.45,102.11
2016-08-01,AAPL,98.08,99.31,99.93,102.29,103.34
2016-08-02,AAPL,99.31,99.93,101.45,102.7,103.24
2016-08-03,AAPL,99.93,101.45,102.29,101.94,103.09
2016-08-04,AAPL,101.45,102.29,102.7,101.87,102.96
2016-08-05,AAPL,102.29,102.7,101.94,102.11,103.22
2016-08-08,AAPL,102.7,101.94,101.87,103.34,102.42
2016-08-09,AAPL,101.94,101.87,102.11,103.24,102.74
2016-08-10,AAPL,101.87,102.11,103.34,103.09,101.97
2016-08-11,AAPL,102.11,103.34,103.24,102.96,101.53
2016-08-12,AAPL,103.34,103.24,103.09,103.22,100.94
2016-08-15,AAPL,103.24,103.09,102.96,102.42,100.82
2016-08-16,AAPL,103.09,102.96,103.22,102.74,100.05
2016-08-17,AAPL,102.96,103.22,102.42,101.97,100.14
2016-08-18,AAPL,103.22,102.42,102.74,101.53,100.74
2016-08-19,AAPL,102.42,102.74,101.97,100.94,101.68
2016-08-22,AAPL,102.74,101.97,101.53,100.82,101.66
2016-08-23,AAPL,101.97,101.53,100.94,100.05,102.28
2016-08-24,AAPL,101.53,100.94,100.82,100.14,99.6
2016-08-25,AAPL,100.94,100.82,100.05,100.74,97.34
2016-08-26,AAPL,100.82,100.05,100.14,101.68,99.52
2016-08-29,AAPL,100.05,100.14,100.74,101.66,101.89
2016-08-30,AAPL,100.14,100.74,101.68,102.28,105.5
2016-08-31,AAPL,100.74,101.68,101.66,99.6,109.08
2016-09-01,AAPL,101.68,101.66,102.28,97.34,108.47
2016-09-02,AAPL,101.66,102.28,99.6,99.52,107.21
2016-09-06,AAPL,102.28,99.6,97.34,101.89,107.2
2016-09-07,AAPL,99.6,97.34,99.52,105.5,107.18
2016-09-08,AAPL,97.34,99.52,101.89,109.08,108.19
2016-09-09,AAPL,99.52,101.89,105.5,108.47,106.38
2016-09-12,AAPL,101.89,105.5,109.08,107.21,106.54
2016-09-13,AAPL,105.5,109.08,108.47,107.2,106.74
2016-09-14,AAPL,109.08,108.47,107.21,107.18,107.55
2016-09-15,AAPL,108.47,107.21,107.2,108.19,105.88
2016-09-16,AAPL,107.21,107.2,107.18,106.38,106.7
2016-09-19,AAPL,107.2,107.18,108.19,106.54,106.2
2016-09-20,AAPL,107.18,108.19,106.38,106.74,106.66
2016-09-21,AAPL,108.19,106.38,106.54,107.55,106.7
2016-09-22,AAPL,106.38,106.54,106.74,105.88,107.5
2016-09-23,AAPL,106.54,106.74,107.55,106.7,107.66
2016-09-26,AAPL,106.74,107.55,105.88,106.2,109.54
2016-09-27,AAPL,107.55,105.88,106.7,106.66,109.77
2016-09-28,AAPL,105.88,106.7,106.2,106.7,110.75
2016-09-29,AAPL,106.7,106.2,106.66,107.5,110.41
2016-09-30,AAPL,106.2,106.66,106.7,107.66,111.03
2016-10-03,AAPL,106.66,106.7,107.5,109.54,110.95
2016-10-04,AAPL,106.7,107.5,107.66,109.77,110.88
2016-10-05,AAPL,107.5,107.66,109.54,110.75,110.55
2016-10-06,AAPL,107.66,109.54,109.77,110.41,110.49
2016-10-07,AAPL,109.54,109.77,110.75,111.03,110.06
2016-10-10,AAPL,109.77,110.75,110.41,110.95,111.05
2016-10-11,AAPL,110.75,110.41,111.03,110.88,111.61
2016-10-12,AAPL,110.41,111.03,110.95,110.55,109.1
2016-10-13,AAPL,111.03,110.95,110.88,110.49,108.05
2016-10-14,AAPL,110.95,110.88,110.55,110.06,107.34
2016-10-17,AAPL,110.88,110.55,110.49,111.05,107.17
2016-10-18,AAPL,110.55,110.49,110.06,111.61,105.23
2016-10-19,AAPL,110.49,110.06,111.05,109.1,105.33
2016-10-20,AAPL,110.06,111.05,111.61,108.05,104.2
2016-10-21,AAPL,111.05,111.61,109.1,107.34,103.26
2016-10-24,AAPL,111.61,109.1,108.05,107.17,104.75
2016-10-25,AAPL,109.1,108.05,107.34,105.23,105.36
2016-10-26,AAPL,108.05,107.34,107.17,105.33,105.19
2016-10-27,AAPL,107.34,107.17,105.23,104.2,102.26
2016-10-28,AAPL,107.17,105.23,105.33,103.26,102.87
2016-10-31,AAPL,105.23,105.33,104.2,104.75,100.29
2016-11-01,AAPL,105.33,104.2,103.26,105.36,101.62
2016-11-02,AAPL,104.2,103.26,104.75,105.19,104.35
2016-11-03,AAPL,103.26,104.75,105.36,102.26,104.31
2016-11-04,AAPL,104.75,105.36,105.19,102.87,104.42
2016-11-07,AAPL,105.36,105.19,102.26,100.29,106.0
2016-11-08,AAPL,105.19,102.26,102.87,101.62,106.07
2016-11-09,AAPL,102.26,102.87,100.29,104.35,105.53
2016-11-10,AAPL,102.87,100.29,101.62,104.31,106.06
2016-11-11,AAPL,100.29,101.62,104.35,104.42,105.85
2016-11-14,AAPL,101.62,104.35,104.31,106.0,105.74
2016-11-15,AAPL,104.35,104.31,104.42,106.07,104.85
2016-11-16,AAPL,104.31,104.42,106.0,105.53,103.88
2016-11-17,AAPL,104.42,106.0,106.07,106.06,104.26
2016-11-18,AAPL,106.0,106.07,105.53,105.85,103.51
2016-11-21,AAPL,106.07,105.53,106.06,105.74,104.31
2016-11-22,AAPL,105.53,106.06,105.85,104.85,105.34
2016-11-23,AAPL,106.06,105.85,105.74,103.88,106.37
2016-11-25,AAPL,105.85,105.74,104.85,104.26,108.11
2016-11-28,AAPL,105.74,104.85,103.88,103.51,107.49
2016-11-29,AAPL,104.85,103.88,104.26,104.31,109.28
2016-11-30,AAPL,103.88,104.26,103.51,105.34,109.28
2016-12-01,AAPL,104.26,103.51,104.31,106.37,109.88
2016-12-02,AAPL,103.51,104.31,105.34,108.11,110.02
2016-12-05,AAPL,104.31,105.34,106.37,107.49,110.66
2016-12-06,AAPL,105.34,106.37,108.11,109.28,110.95
2016-12-07,AAPL,106.37,108.11,107.49,109.28,111.06
2016-12-08,AAPL,108.11,107.49,109.28,109.88,110.33
2016-12-09,AAPL,107.49,109.28,109.28,110.02,110.54
2016-12-12,AAPL,109.28,109.28,109.88,110.66,111.25
2016-12-13,AAPL,109.28,109.88,110.02,110.95,110.77
2016-12-14,AAPL,109.88,110.02,110.66,111.06,110.74
2016-12-15,AAPL,110.02,110.66,110.95,110.33,109.88
2016-12-16,AAPL,110.66,110.95,111.06,110.54,110.19
2016-12-19,AAPL,110.95,111.06,110.33,111.25,110.07
2016-12-20,AAPL,111.06,110.33,110.54,110.77,110.63
2016-12-21,AAPL,110.33,110.54,111.25,110.74,111.86
2016-12-22,AAPL,110.54,111.25,110.77,109.88,112.89
2016-12-23,AAPL,111.25,110.77,110.74,110.19,113.0
2016-12-27,AAPL,110.77,110.74,109.88,110.07,113.61
2016-12-28,AAPL,110.74,109.88,110.19,110.63,113.13
2016-12-29,AAPL,109.88,110.19,110.07,111.86,112.94
2016-12-30,AAPL,110.19,110.07,110.63,112.89,113.85
2017-01-03,AAPL,110.07,110.63,111.86,113.0,113.84
2017-01-04,AAPL,110.63,111.86,112.89,113.61,113.64
2017-01-05,AAPL,111.86,112.89,113.0,113.13,113.85
2017-01-06,AAPL,112.89,113.0,113.61,112.94,113.92
2017-01-09,AAPL,113.0,113.61,113.13,113.85,113.82
2017-01-10,AAPL,113.61,113.13,112.94,113.84,115.63
2017-01-11,AAPL,113.13,112.94,113.85,113.64,115.69
2017-01-12,AAPL,112.94,113.85,113.84,113.85,115.7
2017-01-13,AAPL,113.85,113.84,113.64,113.92,115.39
