Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,AXP,50.83,49.86,50.28,50.16,48.93
2016-02-01,AXP,49.86,50.28,50.53,48.69,49.42
2016-02-02,AXP,50.28,50.53,50.16,48.91,49.82
2016-02-03,AXP,50.53,50.16,48.69,48.59,50.32
2016-02-04,AXP,50.16,48.69,48.91,47.49,50.84
2016-02-05,AXP,48.69,48.91,48.59,48.93,51.69
2016-02-08,AXP,48.91,48.59,47.49,49.42,51.21
2016-02-09,AXP,48.59,47.49,48.93,49.82,50.77
2016-02-10,AXP,47.49,48.93,49.42,50.32,51.47
2016-02-11,AXP,48.93,49.42,49.82,50.84,51.46
2016-02-12,AXP,49.42,49.82,50.32,51.69,51.65
2016-02-16,AXP,49.82,50.32,50.84,51.21,52.78
2016-02-17,AXP,50.32,50.84,51.69,50.77,53.08
2016-02-18,AXP,50.84,51.69,51.21,51.47,53.98
2016-02-19,AXP,51.69,51.21,50.77,51.46,54.17
2016-02-22,AXP,51.21,50.77,51.47,51.65,54.83
2016-02-23,AXP,50.77,51.47,51.46,52.78,55.22
2016-02-24,AXP,51.47,51.46,51.65,53.08,54.87
2016-02-25,AXP,51.46,51.65,52.78,53.98,54.59
2016-02-26,AXP,51.65,52.78,53.08,54.17,55.25
2016-02-29,AXP,52.78,53.08,53.98,54.83,55.36
2016-03-01,AXP,53.08,53.98,54.17,55.22,55.04
2016-03-02,AXP,53.98,54.17,54.83,54.87,55.48
2016-03-03,AXP,54.17,54.83,55.22,54.59,55.83
2016-03-04,AXP,54.83,55.22,54.87,55.25,56.89
2016-03-07,AXP,55.22,54.87,54.59,55.36,56.88
2016-03-08,AXP,54.87,54.59,55.25,55.04,56.32
2016-03-09,AXP,54.59,55.25,55.36,55.48,56.34
2016-03-10,AXP,55.25,55.36,55.04,55.83,56.19
2016-03-11,AXP,55.36,55.04,55.48,56.89,56.01
2016-03-14,AXP,55.04,55.48,55.83,56.88,56.31
2016-03-15,AXP,55.48,55.83,56.89,56.32,56.02
2016-03-16,AXP,55.83,56.89,56.88,56.34,57.06
2016-03-17,AXP,56.89,56.88,56.32,56.19,56.78
2016-03-18,AXP,56.88,56.32,56.34,56.01,56.33
2016-03-21,AXP,56.32,56.34,56.19,56.31,55.93
2016-03-22,AXP,56.34,56.19,56.01,56.02,55.91
2016-03-23,AXP,56.19,56.01,56.31,57.06,54.96
2016-03-24,AXP,56.01,56.31,56.02,56.78,55.56
2016-03-28,AXP,56.31,56.02,57.06,56.33,55.84
2016-03-29,AXP,56.02,57.06,56.78,55.93,56.66
2016-03-30,AXP,57.06,56.78,56.33,55.91,58.04
2016-03-31,AXP,56.78,56.33,55.93,54.96,58.37
2016-04-01,AXP,56.33,55.93,55.91,55.56,58.02
2016-04-04,AXP,55.93,55.91,54.96,55.84,58.44
2016-04-05,AXP,55.91,54.96,55.56,56.66,59.36
2016-04-06,AXP,54.96,55.56,55.84,58.04,60.71
2016-04-07,AXP,55.56,55.84,56.66,58.37,61.26
2016-04-08,AXP,55.84,56.66,58.04,58.02,61.56
2016-04-11,AXP,56.66,58.04,58.37,58.44,61.35
2016-04-12,AXP,58.04,58.37,58.02,59.36,61.81
2016-04-13,AXP,58.37,58.02,58.44,60.71,61.84
2016-04-14,AXP,58.02,58.44,59.36,61.26,61.48
2016-04-15,AXP,58.44,59.36,60.71,61.56,61.09
2016-04-18,AXP,59.36,60.71,61.26,61.35,61.33
2016-04-19,AXP,60.71,61.26,61.56,61.81,60.55
2016-04-20,AXP,61.26,61.56,61.35,61.84,60.0
2016-04-21,AXP,61.56,61.35,61.81,61.48,59.68
2016-04-22,AXP,61.35,61.81,61.84,61.09,60.24
2016-04-25,AXP,61.81,61.84,61.48,61.33,59.74
2016-04-26,AXP,61.84,61.48,61.09,60.55,60.54
2016-04-27,AXP,61.48,61.09,61.33,60.0,60.31
2016-04-28,AXP,61.09,61.33,60.55,59.68,60.08
2016-04-29,AXP,61.33,60.55,60.0,60.24,59.87
2016-05-02,AXP,60.55,60.0,59.68,59.74,59.82
2016-05-03,AXP,60.0,59.68,60.24,60.54,58.6
2016-05-04,AXP,59.68,60.24,59.74,60.31,59.31
2016-05-05,AXP,60.24,59.74,60.54,60.08,58.58
2016-05-06,AXP,59.74,60.54,60.31,59.87,59.68
2016-05-09,AXP,60.54,60.31,60.08,59.82,59.38
2016-05-10,AXP,60.31,60.08,59.87,58.6,60.57
2016-05-11,AXP,60.08,59.87,59.82,59.31,60.98
2016-05-12,AXP,59.87,59.82,58.6,58.58,60.91
2016-05-13,AXP,59.82,58.6,59.31,59.68,61.18
2016-05-16,AXP,58.6,59.31,58.58,59.38,61.4
2016-05-17,AXP,59.31,58.58,59.68,60.57,61.54
2016-05-18,AXP,58.58,59.68,59.38,60.98,62.01
2016-05-19,AXP,59.68,59.38,60.57,60.91,61.15
2016-05-20,AXP,59.38,60.57,60.98,61.18,61.57
2016-05-23,AXP,60.57,60.98,60.91,61.4,61.52
2016-05-24,AXP,60.98,60.91,61.18,61.54,61.87
2016-05-25,AXP,60.91,61.18,61.4,62.01,61.36
