Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,BA,108.18,104.59,108.46,109.07,97.57
2016-02-01,BA,104.59,108.46,110.01,106.32,101.14
2016-02-02,BA,108.46,110.01,109.07,105.8,104.5
2016-02-03,BA,110.01,109.07,106.32,104.51,105.6
2016-02-04,BA,109.07,106.32,105.8,97.4,103.44
2016-02-05,BA,106.32,105.8,104.51,97.57,105.44
2016-02-08,BA,105.8,104.51,97.4,101.14,105.0
2016-02-09,BA,104.51,97.4,97.57,104.5,103.82
2016-02-10,BA,97.4,97.57,101.14,105.6,104.93
2016-02-11,BA,97.57,101.14,104.5,103.44,106.13
2016-02-12,BA,101.14,104.5,105.6,105.44,106.15
2016-02-16,BA,104.5,105.6,103.44,105.0,107.75
2016-02-17,BA,105.6,103.44,105.44,103.82,107.47
2016-02-18,BA,103.44,105.44,105.0,104.93,107.43
2016-02-19,BA,105.44,105.0,103.82,106.13,108.74
2016-02-22,BA,105.0,103.82,104.93,106.15,110.39
2016-02-23,BA,103.82,104.93,106.13,107.75,109.89
2016-02-24,BA,104.93,106.13,106.15,107.47,110.35
2016-02-25,BA,106.13,106.15,107.75,107.43,110.42
2016-02-26,BA,106.15,107.75,107.47,108.74,111.94
2016-02-29,BA,107.75,107.47,107.43,110.39,113.48
2016-03-01,BA,107.47,107.43,108.74,109.89,113.5
2016-03-02,BA,107.43,108.74,110.39,110.35,114.58
2016-03-03,BA,108.74,110.39,109.89,110.42,117.39
2016-03-04,BA,110.39,109.89,110.35,111.94,120.32
2016-03-07,BA,109.89,110.35,110.42,113.48,122.03
2016-03-08,BA,110.35,110.42,111.94,113.5,121.36
2016-03-09,BA,110.42,111.94,113.48,114.58,119.33
2016-03-10,BA,111.94,113.48,113.5,117.39,118.67
2016-03-11,BA,113.48,113.5,114.58,120.32,117.92
2016-03-14,BA,113.5,114.58,117.39,122.03,117.56
2016-03-15,BA,114.58,117.39,120.32,121.36,115.49
2016-03-16,BA,117.39,120.32,122.03,119.33,114.02
2016-03-17,BA,120.32,122.03,121.36,118.67,114.03
2016-03-18,BA,122.03,121.36,119.33,117.92,113.48
2016-03-21,BA,121.36,119.33,118.67,117.56,114.1
2016-03-22,BA,119.33,118.67,117.92,115.49,114.91
2016-03-23,BA,118.67,117.92,117.56,114.02,114.07
2016-03-24,BA,117.92,117.56,115.49,114.03,114.86
2016-03-28,BA,117.56,115.49,114.02,113.48,114.89
2016-03-29,BA,115.49,114.02,114.03,114.1,116.29
2016-03-30,BA,114.02,114.03,113.48,114.91,117.79
2016-03-31,BA,114.03,113.48,114.1,114.07,117.53
2016-04-01,BA,113.48,114.1,114.91,114.86,117.78
2016-04-04,BA,114.1,114.91,114.07,114.89,118.53
2016-04-05,BA,114.91,114.07,114.86,116.29,119.17
2016-04-06,BA,114.07,114.86,114.89,117.79,117.28
2016-04-07,BA,114.86,114.89,116.29,117.53,117.43
2016-04-08,BA,114.89,116.29,117.79,117.78,117.71
2016-04-11,BA,116.29,117.79,117.53,118.53,117.44
2016-04-12,BA,117.79,117.53,117.78,119.17,119.68
2016-04-13,BA,117.53,117.78,118.53,117.28,123.12
2016-04-14,BA,117.78,118.53,119.17,117.43,121.08
2016-04-15,BA,118.53,119.17,117.28,117.71,121.08
2016-04-18,BA,119.17,117.28,117.43,117.44,120.37
2016-04-19,BA,117.28,117.43,117.71,119.68,119.0
2016-04-20,BA,117.43,117.71,117.44,123.12,117.56
2016-04-21,BA,117.71,117.44,119.68,121.08,118.63
2016-04-22,BA,117.44,119.68,123.12,121.08,119.69
2016-04-25,BA,119.68,123.12,121.08,120.37,118.65
2016-04-26,BA,123.12,121.08,121.08,119.0,121.0
2016-04-27,BA,121.08,121.08,120.37,117.56,120.43
2016-04-28,BA,121.08,120.37,119.0,118.63,121.72
2016-04-29,BA,120.37,119.0,117.56,119.69,119.64
2016-05-02,BA,119.0,117.56,118.63,118.65,121.47
2016-05-03,BA,117.56,118.63,119.69,121.0,120.04
2016-05-04,BA,118.63,119.69,118.65,120.43,118.61
2016-05-05,BA,119.69,118.65,121.0,121.72,115.98
2016-05-06,BA,118.65,121.0,120.43,119.64,115.35
2016-05-09,BA,121.0,120.43,121.72,121.47,115.53
2016-05-10,BA,120.43,121.72,119.64,120.04,115.45
2016-05-11,BA,121.72,119.64,121.47,118.61,116.69
2016-05-12,BA,119.64,121.47,120.04,115.98,117.09
2016-05-13,BA,121.47,120.04,118.61,115.35,117.01
2016-05-16,BA,120.04,118.61,115.98,115.53,114.23
2016-05-17,BA,118.61,115.98,115.35,115.45,114.47
2016-05-18,BA,115.98,115.35,115.53,116.69,114.87
2016-05-19,BA,115.35,115.53,115.45,117.09,115.35
2016-05-20,BA,115.53,115.45,116.69,117.01,119.44
2016-05-23,BA,115.45,116.69,117.09,114.23,119.47
2016-05-24,BA,116.69,117.09,117.01,114.47,120.43
2016-05-25,BA,117.09,117.01,114.23,114.87,120.52
2016-05-26,BA,117.01,114.23,114.47,115.35,118.75
2016-05-27,BA,114.23,114.47,114.87,119.44,117.65
2016-05-31,BA,114.47,114.87,115.35,119.47,118.17
2016-06-01,BA,114.87,115.35,119.44,120.43,117.86
2016-06-02,BA,115.35,119.44,119.47,120.52,117.15
2016-06-03,BA,119.44,119.47,120.43,118.75,117.55
2016-06-06,BA,119.47,120.43,120.52,117.65,120.21
2016-06-07,BA,120.43,120.52,118.75,118.17,119.09
2016-06-08,BA,120.52,118.75,117.65,117.86,119.32
2016-06-09,BA,118.75,117.65,118.17,117.15,120.93
2016-06-10,BA,117.65,118.17,117.86,117.55,114.57
2016-06-13,BA,118.17,117.86,117.15,120.21,111.11
2016-06-14,BA,117.86,117.15,117.55,119.09,112.18
2016-06-15,BA,117.15,117.55,120.21,119.32,114.99
2016-06-16,BA,117.55,120.21,119.09,120.93,117.6
2016-06-17,BA,120.21,119.09,119.32,114.57,117.44
2016-06-20,BA,119.09,119.32,120.93,111.11,114.97
2016-06-21,BA,119.32,120.93,114.57,112.18,114.96
2016-06-22,BA,120.93,114.57,111.11,114.99,115.16
2016-06-23,BA,114.57,111.11,112.18,117.6,117.8
2016-06-24,BA,111.11,112.18,114.99,117.44,119.56
2016-06-27,BA,112.18,114.99,117.6,114.97,118.45
2016-06-28,BA,114.99,117.6,117.44,114.96,117.82
2016-06-29,BA,117.6,117.44,114.97,115.16,119.12
2016-06-30,BA,117.44,114.97,114.96,117.8,119.88
2016-07-01,BA,114.97,114.96,115.16,119.56,120.82
2016-07-05,BA,114.96,115.16,117.8,118.45,121.94
2016-07-06,BA,115.16,117.8,119.56,117.82,121.99
2016-07-07,BA,117.8,119.56,118.45,119.12,120.91
2016-07-08,BA,119.56,118.45,117.82,119.88,120.86
2016-07-11,BA,118.45,117.82,119.12,120.82,120.38
2016-07-12,BA,117.82,119.12,119.88,121.94,122.11
2016-07-13,BA,119.12,119.88,120.82,121.99,123.11
2016-07-14,BA,119.88,120.82,121.94,120.91,120.44
2016-07-15,BA,120.82,121.94,121.99,120.86,121.03
2016-07-18,BA,121.94,121.99,120.91,120.38,120.62
2016-07-19,BA,121.99,120.91,120.86,122.11,119.17
2016-07-20,BA,120.91,120.86,120.38,123.11,119.41
2016-07-21,BA,120.86,120.38,122.11,120.44,118.81
2016-07-22,BA,120.38,122.11,123.11,121.03,119.28
2016-07-25,BA,122.11,123.11,120.44,120.62,119.7
2016-07-26,BA,123.11,120.44,121.03,119.17,120.09
2016-07-27,BA,120.44,121.03,120.62,119.41,120.77
2016-07-28,BA,121.03,120.62,119.17,118.81,121.43
2016-07-29,BA,120.62,119.17,119.41,119.28,121.52
2016-08-01,BA,119.17,119.41,118.81,119.7,122.95
2016-08-02,BA,119.41,118.81,119.28,120.09,123.26
2016-08-03,BA,118.81,119.28,119.7,120.77,123.0
2016-08-04,BA,119.28,119.7,120.09,121.43,123.26
2016-08-05,BA,119.7,120.09,120.77,121.52,122.75
2016-08-08,BA,120.09,120.77,121.43,122.95,123.25
2016-08-09,BA,120.77,121.43,121.52,123.26,122.47
2016-08-10,BA,121.43,121.52,122.95,123.0,121.7
2016-08-11,BA,121.52,122.95,123.26,123.26,121.41
2016-08-12,BA,122.95,123.26,123.0,122.75,120.73
2016-08-15,BA,123.26,123.0,123.26,123.25,121.34
2016-08-16,BA,123.0,123.26,122.75,122.47,119.43
2016-08-17,BA,123.26,122.75,123.25,121.7,118.19
2016-08-18,BA,122.75,123.25,122.47,121.41,118.6
2016-08-19,BA,123.25,122.47,121.7,120.73,119.75
2016-08-22,BA,122.47,121.7,121.41,121.34,121.42
2016-08-23,BA,121.7,121.41,120.73,119.43,121.1
2016-08-24,BA,121.41,120.73,121.34,118.19,121.34
2016-08-25,BA,120.73,121.34,119.43,118.6,117.35
2016-08-26,BA,121.34,119.43,118.19,119.75,118.8
2016-08-29,BA,119.43,118.19,118.6,121.42,117.56
2016-08-30,BA,118.19,118.6,119.75,121.1,116.57
2016-08-31,BA,118.6,119.75,121.42,121.34,116.66
2016-09-01,BA,119.75,121.42,121.1,117.35,115.68
2016-09-02,BA,121.42,121.1,121.34,118.8,116.39
2016-09-06,BA,121.1,121.34,117.35,117.56,116.68
2016-09-07,BA,121.34,117.35,118.8,116.57,119.2
2016-09-08,BA,117.35,118.8,117.56,116.66,120.4
2016-09-09,BA,118.8,117.56,116.57,115.68,120.32
2016-09-12,BA,117.56,116.57,116.66,116.39,119.21
2016-09-13,BA,116.57,116.66,115.68,116.68,119.9
2016-09-14,BA,116.66,115.68,116.39,119.2,120.73
2016-09-15,BA,115.68,116.39,116.68,120.4,119.63
2016-09-16,BA,116.39,116.68,119.2,120.32,120.28
2016-09-19,BA,116.68,119.2,120.4,119.21,120.87
2016-09-20,BA,119.2,120.4,120.32,119.9,120.75
2016-09-21,BA,120.4,120.32,119.21,120.73,122.95
2016-09-22,BA,120.32,119.21,119.9,119.63,122.73
2016-09-23,BA,119.21,119.9,120.73,120.28,122.21
2016-09-26,BA,119.9,120.73,119.63,120.87,124.03
2016-09-27,BA,120.73,119.63,120.28,120.75,122.11
2016-09-28,BA,119.63,120.28,120.87,122.95,121.58
2016-09-29,BA,120.28,120.87,120.75,122.73,121.78
2016-09-30,BA,120.87,120.75,122.95,122.21,121.89
2016-10-03,BA,120.75,122.95,122.73,124.03,122.35
2016-10-04,BA,122.95,122.73,122.21,122.11,123.35
2016-10-05,BA,122.73,122.21,124.03,121.58,124.34
2016-10-06,BA,122.21,124.03,122.11,121.78,124.03
2016-10-07,BA,124.03,122.11,121.58,121.89,123.83
2016-10-10,BA,122.11,121.58,121.78,122.35,125.5
2016-10-11,BA,121.58,121.78,121.89,123.35,126.93
2016-10-12,BA,121.78,121.89,122.35,124.34,132.88
2016-10-13,BA,121.89,122.35,123.35,124.03,130.85
2016-10-14,BA,122.35,123.35,124.34,123.83,130.57
2016-10-17,BA,123.35,124.34,124.03,125.5,130.04
2016-10-18,BA,124.34,124.03,123.83,126.93,130.02
2016-10-19,BA,124.03,123.83,125.5,132.88,128.51
2016-10-20,BA,123.83,125.5,126.93,130.85,127.84
2016-10-21,BA,125.5,126.93,132.88,130.57,127.4
2016-10-24,BA,126.93,132.88,130.85,130.04,130.59
2016-10-25,BA,132.88,130.85,130.57,130.02,130.83
2016-10-26,BA,130.85,130.57,130.04,128.51,134.52
2016-10-27,BA,130.57,130.04,130.02,127.84,136.93
2016-10-28,BA,130.04,130.02,128.51,127.4,137.7
2016-10-31,BA,130.02,128.51,127.84,130.59,139.06
2016-11-01,BA,128.51,127.84,127.4,130.83,137.32
2016-11-02,BA,127.84,127.4,130.59,134.52,135.77
2016-11-03,BA,127.4,130.59,130.83,136.93,134.74
2016-11-04,BA,130.59,130.83,134.52,137.7,135.69
2016-11-07,BA,130.83,134.52,136.93,139.06,136.31
2016-11-08,BA,134.52,136.93,137.7,137.32,138.63
2016-11-09,BA,136.93,137.7,139.06,135.77,138.83
2016-11-10,BA,137.7,139.06,137.32,134.74,139.11
2016-11-11,BA,139.06,137.32,135.77,135.69,138.86
2016-11-14,BA,137.32,135.77,134.74,136.31,140.59
2016-11-15,BA,135.77,134.74,135.69,138.63,139.59
2016-11-16,BA,134.74,135.69,136.31,138.83,141.29
2016-11-17,BA,135.69,136.31,138.63,139.11,141.16
2016-11-18,BA,136.31,138.63,138.83,138.86,141.07
2016-11-21,BA,138.63,138.83,139.11,140.59,141.15
2016-11-22,BA,138.83,139.11,138.86,139.59,142.91
2016-11-23,BA,139.11,138.86,140.59,141.29,144.07
2016-11-25,BA,138.86,140.59,139.59,141.16,145.09
2016-11-28,BA,140.59,139.59,141.29,141.07,145.71
2016-11-29,BA,139.59,141.29,141.16,141.15,145.25
