Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-06-30,CAT,67.69,65.86,66.25,68.5,71.45
2016-07-01,CAT,65.86,66.25,66.45,68.88,71.35
2016-07-05,CAT,66.25,66.45,68.5,70.66,71.28
2016-07-06,CAT,66.45,68.5,68.88,70.56,71.24
2016-07-07,CAT,68.5,68.88,70.66,70.89,71.52
2016-07-08,CAT,68.88,70.66,70.56,71.45,70.96
2016-07-11,CAT,70.66,70.56,70.89,71.35,70.34
2016-07-12,CAT,70.56,70.89,71.45,71.28,73.97
2016-07-13,CAT,70.89,71.45,71.35,71.24,75.18
2016-07-14,CAT,71.45,71.35,71.28,71.52,74.13
2016-07-15,CAT,71.35,71.28,71.24,70.96,73.98
2016-07-18,CAT,71.28,71.24,71.52,70.34,73.26
2016-07-19,CAT,71.24,71.52,70.96,73.97,72.62
2016-07-20,CAT,71.52,70.96,70.34,75.18,73.33
2016-07-21,CAT,70.96,70.34,73.97,74.13,73.1
2016-07-22,CAT,70.34,73.97,75.18,73.98,73.8
2016-07-25,CAT,73.97,75.18,74.13,73.26,74.59
2016-07-26,CAT,75.18,74.13,73.98,72.62,74.04
2016-07-27,CAT,74.13,73.98,73.26,73.33,73.88
2016-07-28,CAT,73.98,73.26,72.62,73.1,74.41
2016-07-29,CAT,73.26,72.62,73.33,73.8,74.2
2016-08-01,CAT,72.62,73.33,73.1,74.59,75.22
2016-08-02,CAT,73.33,73.1,73.8,74.04,75.35
2016-08-03,CAT,73.1,73.8,74.59,73.88,75.46
2016-08-04,CAT,73.8,74.59,74.04,74.41,74.54
2016-08-05,CAT,74.59,74.04,73.88,74.2,74.95
2016-08-08,CAT,74.04,73.88,74.41,75.22,74.72
2016-08-09,CAT,73.88,74.41,74.2,75.35,75.1
2016-08-10,CAT,74.41,74.2,75.22,75.46,74.33
2016-08-11,CAT,74.2,75.22,75.35,74.54,74.05
2016-08-12,CAT,75.22,75.35,75.46,74.95,73.89
2016-08-15,CAT,75.35,75.46,74.54,74.72,74.29
2016-08-16,CAT,75.46,74.54,74.95,75.1,73.73
2016-08-17,CAT,74.54,74.95,74.72,74.33,73.26
2016-08-18,CAT,74.95,74.72,75.1,74.05,72.81
2016-08-19,CAT,74.72,75.1,74.33,73.89,73.03
2016-08-22,CAT,75.1,74.33,74.05,74.29,73.37
2016-08-23,CAT,74.33,74.05,73.89,73.73,74.84
2016-08-24,CAT,74.05,73.89,74.29,73.26,74.68
2016-08-25,CAT,73.89,74.29,73.73,72.81,72.22
2016-08-26,CAT,74.29,73.73,73.26,73.03,73.23
2016-08-29,CAT,73.73,73.26,72.81,73.37,71.72
2016-08-30,CAT,73.26,72.81,73.03,74.84,72.43
2016-08-31,CAT,72.81,73.03,73.37,74.68,73.33
2016-09-01,CAT,73.03,73.37,74.84,72.22,73.35
2016-09-02,CAT,73.37,74.84,74.68,73.23,73.2
2016-09-06,CAT,74.84,74.68,72.22,71.72,73.03
2016-09-07,CAT,74.68,72.22,73.23,72.43,74.62
2016-09-08,CAT,72.22,73.23,71.72,73.33,74.64
2016-09-09,CAT,73.23,71.72,72.43,73.35,73.7
2016-09-12,CAT,71.72,72.43,73.33,73.2,73.63
2016-09-13,CAT,72.43,73.33,73.35,73.03,74.09
2016-09-14,CAT,73.33,73.35,73.2,74.62,77.41
2016-09-15,CAT,73.35,73.2,73.03,74.64,78.19
2016-09-16,CAT,73.2,73.03,74.62,73.7,79.35
2016-09-19,CAT,73.03,74.62,74.64,73.63,78.92
2016-09-20,CAT,74.62,74.64,73.7,74.09,78.23
2016-09-21,CAT,74.64,73.7,73.63,77.41,79.94
2016-09-22,CAT,73.7,73.63,74.09,78.19,79.82
2016-09-23,CAT,73.63,74.09,77.41,79.35,79.09
2016-09-26,CAT,74.09,77.41,78.19,78.92,78.86
2016-09-27,CAT,77.41,78.19,79.35,78.23,78.19
2016-09-28,CAT,78.19,79.35,78.92,79.94,78.29
2016-09-29,CAT,79.35,78.92,78.23,79.82,77.75
2016-09-30,CAT,78.92,78.23,79.94,79.09,78.37
2016-10-03,CAT,78.23,79.94,79.82,78.86,78.03
2016-10-04,CAT,79.94,79.82,79.09,78.19,77.97
2016-10-05,CAT,79.82,79.09,78.86,78.29,78.67
2016-10-06,CAT,79.09,78.86,78.19,77.75,78.13
2016-10-07,CAT,78.86,78.19,78.29,78.37,77.85
2016-10-10,CAT,78.19,78.29,77.75,78.03,77.55
2016-10-11,CAT,78.29,77.75,78.37,77.97,76.19
2016-10-12,CAT,77.75,78.37,78.03,78.67,75.87
2016-10-13,CAT,78.37,78.03,77.97,78.13,74.86
2016-10-14,CAT,78.03,77.97,78.67,77.85,75.65
2016-10-17,CAT,77.97,78.67,78.13,77.55,75.27
2016-10-18,CAT,78.67,78.13,77.85,76.19,74.17
2016-10-19,CAT,78.13,77.85,77.55,75.87,73.15
2016-10-20,CAT,77.85,77.55,76.19,74.86,73.29
2016-10-21,CAT,77.55,76.19,75.87,75.65,74.23
2016-10-24,CAT,76.19,75.87,74.86,75.27,75.53
2016-10-25,CAT,75.87,74.86,75.65,74.17,76.37
2016-10-26,CAT,74.86,75.65,75.27,73.15,82.25
2016-10-27,CAT,75.65,75.27,74.17,73.29,84.28
2016-10-28,CAT,75.27,74.17,73.15,74.23,83.88
2016-10-31,CAT,74.17,73.15,73.29,75.53,84.92
2016-11-01,CAT,73.15,73.29,74.23,76.37,85.17
2016-11-02,CAT,73.29,74.23,75.53,82.25,84.19
2016-11-03,CAT,74.23,75.53,76.37,84.28,83.67
2016-11-04,CAT,75.53,76.37,82.25,83.88,83.27
2016-11-07,CAT,76.37,82.25,84.28,84.92,83.78
2016-11-08,CAT,82.25,84.28,83.88,85.17,84.43
2016-11-09,CAT,84.28,83.88,84.92,84.19,86.74
2016-11-10,CAT,83.88,84.92,85.17,83.67,86.4
2016-11-11,CAT,84.92,85.17,84.19,83.27,85.58
2016-11-14,CAT,85.17,84.19,83.67,83.78,84.81
2016-11-15,CAT,84.19,83.67,83.27,84.43,86.18
2016-11-16,CAT,83.67,83.27,83.78,86.74,86.79
2016-11-17,CAT,83.27,83.78,84.43,86.4,85.8
2016-11-18,CAT,83.78,84.43,86.74,85.58,85.18
2016-11-21,CAT,84.43,86.74,86.4,84.81,85.87
2016-11-22,CAT,86.74,86.4,85.58,86.18,87.77
2016-11-23,CAT,86.4,85.58,84.81,86.79,86.82
2016-11-25,CAT,85.58,84.81,86.18,85.8,86.15
2016-11-28,CAT,84.81,86.18,86.79,85.18,85.75
2016-11-29,CAT,86.18,86.79,85.8,85.87,86.59
2016-11-30,CAT,86.79,85.8,85.18,87.77,84.54
2016-12-01,CAT,85.8,85.18,85.87,86.82,85.25
2016-12-02,CAT,85.18,85.87,87.77,86.15,83.49
2016-12-05,CAT,85.87,87.77,86.82,85.75,83.61
2016-12-06,CAT,87.77,86.82,86.15,86.59,85.08
2016-12-07,CAT,86.82,86.15,85.75,84.54,84.61
2016-12-08,CAT,86.15,85.75,86.59,85.25,84.88
2016-12-09,CAT,85.75,86.59,84.54,83.49,85.06
2016-12-12,CAT,86.59,84.54,85.25,83.61,85.27
2016-12-13,CAT,84.54,85.25,83.49,85.08,84.01
2016-12-14,CAT,85.25,83.49,83.61,84.61,84.13
2016-12-15,CAT,83.49,83.61,85.08,84.88,83.64
2016-12-16,CAT,83.61,85.08,84.61,85.06,84.76
2016-12-19,CAT,85.08,84.61,84.88,85.27,84.38
2016-12-20,CAT,84.61,84.88,85.06,84.01,83.87
2016-12-21,CAT,84.88,85.06,85.27,84.13,83.91
