Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,CVX,70.79,67.42,70.23,68.79,70.9
2016-02-01,CVX,67.42,70.23,70.37,71.37,71.28
2016-02-02,CVX,70.23,70.37,68.79,68.82,74.22
2016-02-03,CVX,70.37,68.79,71.37,68.92,72.89
2016-02-04,CVX,68.79,71.37,68.82,68.88,72.7
2016-02-05,CVX,71.37,68.82,68.92,70.9,74.65
2016-02-08,CVX,68.82,68.92,68.88,71.28,71.36
2016-02-09,CVX,68.92,68.88,70.9,74.22,71.67
2016-02-10,CVX,68.88,70.9,71.28,72.89,71.69
2016-02-11,CVX,70.9,71.28,74.22,72.7,70.89
2016-02-12,CVX,71.28,74.22,72.89,74.65,70.13
2016-02-16,CVX,74.22,72.89,72.7,71.36,72.39
2016-02-17,CVX,72.89,72.7,74.65,71.67,73.24
2016-02-18,CVX,72.7,74.65,71.36,71.69,73.57
2016-02-19,CVX,74.65,71.36,71.67,70.89,73.9
2016-02-22,CVX,71.36,71.67,71.69,70.13,76.21
2016-02-23,CVX,71.67,71.69,70.89,72.39,74.58
2016-02-24,CVX,71.69,70.89,70.13,73.24,78.01
2016-02-25,CVX,70.89,70.13,72.39,73.57,78.95
2016-02-26,CVX,70.13,72.39,73.24,73.9,79.49
2016-02-29,CVX,72.39,73.24,73.57,76.21,79.22
2016-03-01,CVX,73.24,73.57,73.9,74.58,79.23
2016-03-02,CVX,73.57,73.9,76.21,78.01,80.18
2016-03-03,CVX,73.9,76.21,74.58,78.95,81.43
2016-03-04,CVX,76.21,74.58,78.01,79.49,82.11
2016-03-07,CVX,74.58,78.01,78.95,79.22,81.05
2016-03-08,CVX,78.01,78.95,79.49,79.23,80.26
2016-03-09,CVX,78.95,79.49,79.22,80.18,78.66
2016-03-10,CVX,79.49,79.22,79.23,81.43,79.72
2016-03-11,CVX,79.22,79.23,80.18,82.11,79.58
2016-03-14,CVX,79.23,80.18,81.43,81.05,80.11
2016-03-15,CVX,80.18,81.43,82.11,80.26,80.05
2016-03-16,CVX,81.43,82.11,81.05,78.66,80.18
2016-03-17,CVX,82.11,81.05,80.26,79.72,79.22
2016-03-18,CVX,81.05,80.26,78.66,79.58,78.52
2016-03-21,CVX,80.26,78.66,79.72,80.11,77.89
2016-03-22,CVX,78.66,79.72,79.58,80.05,79.71
2016-03-23,CVX,79.72,79.58,80.11,80.18,79.67
2016-03-24,CVX,79.58,80.11,80.05,79.22,80.96
2016-03-28,CVX,80.11,80.05,80.18,78.52,80.05
2016-03-29,CVX,80.05,80.18,79.22,77.89,81.95
2016-03-30,CVX,80.18,79.22,78.52,79.71,82.03
2016-03-31,CVX,79.22,78.52,77.89,79.67,82.35
2016-04-01,CVX,78.52,77.89,79.71,80.96,81.72
2016-04-04,CVX,77.89,79.71,79.67,80.05,82.95
2016-04-05,CVX,79.71,79.67,80.96,81.95,84.47
2016-04-06,CVX,79.67,80.96,80.05,82.03,85.47
2016-04-07,CVX,80.96,80.05,81.95,82.35,85.22
2016-04-08,CVX,80.05,81.95,82.03,81.72,85.74
2016-04-11,CVX,81.95,82.03,82.35,82.95,85.32
2016-04-12,CVX,82.03,82.35,81.72,84.47,85.97
2016-04-13,CVX,82.35,81.72,82.95,85.47,87.28
2016-04-14,CVX,81.72,82.95,84.47,85.22,86.06
2016-04-15,CVX,82.95,84.47,85.47,85.74,85.88
2016-04-18,CVX,84.47,85.47,85.22,85.32,86.83
2016-04-19,CVX,85.47,85.22,85.74,85.97,85.16
2016-04-20,CVX,85.22,85.74,85.32,87.28,84.54
2016-04-21,CVX,85.74,85.32,85.97,86.06,85.24
2016-04-22,CVX,85.32,85.97,87.28,85.88,85.61
2016-04-25,CVX,85.97,87.28,86.06,86.83,84.34
2016-04-26,CVX,87.28,86.06,85.88,85.16,85.11
2016-04-27,CVX,86.06,85.88,86.83,84.54,85.01
2016-04-28,CVX,85.88,86.83,85.16,85.24,85.83
2016-04-29,CVX,86.83,85.16,84.54,85.61,84.67
2016-05-02,CVX,85.16,84.54,85.24,84.34,85.97
2016-05-03,CVX,84.54,85.24,85.61,85.11,85.57
2016-05-04,CVX,85.24,85.61,84.34,85.01,84.99
2016-05-05,CVX,85.61,84.34,85.11,85.83,84.81
2016-05-06,CVX,84.34,85.11,85.01,84.67,84.76
2016-05-09,CVX,85.11,85.01,85.83,85.97,84.41
2016-05-10,CVX,85.01,85.83,84.67,85.57,85.1
2016-05-11,CVX,85.83,84.67,85.97,84.99,86.44
2016-05-12,CVX,84.67,85.97,85.57,84.81,86.21
2016-05-13,CVX,85.97,85.57,84.99,84.76,86.65
2016-05-16,CVX,85.57,84.99,84.81,84.41,85.78
2016-05-17,CVX,84.99,84.81,84.76,85.1,85.9
2016-05-18,CVX,84.81,84.76,84.41,86.44,85.39
2016-05-19,CVX,84.76,84.41,85.1,86.21,85.5
2016-05-20,CVX,84.41,85.1,86.44,86.65,85.93
2016-05-23,CVX,85.1,86.44,86.21,85.78,87.76
2016-05-24,CVX,86.44,86.21,86.65,85.9,87.56
2016-05-25,CVX,86.21,86.65,85.78,85.39,87.32
2016-05-26,CVX,86.65,85.78,85.9,85.5,86.62
2016-05-27,CVX,85.78,85.9,85.39,85.93,86.72
2016-05-31,CVX,85.9,85.39,85.5,87.76,86.02
2016-06-01,CVX,85.39,85.5,85.93,87.56,85.47
2016-06-02,CVX,85.5,85.93,87.76,87.32,85.84
2016-06-03,CVX,85.93,87.76,87.56,86.62,86.27
2016-06-06,CVX,87.76,87.56,87.32,86.72,87.15
2016-06-07,CVX,87.56,87.32,86.62,86.02,87.69
2016-06-08,CVX,87.32,86.62,86.72,85.47,86.88
2016-06-09,CVX,86.62,86.72,86.02,85.84,88.71
2016-06-10,CVX,86.72,86.02,85.47,86.27,86.55
2016-06-13,CVX,86.02,85.47,85.84,87.15,85.24
2016-06-14,CVX,85.47,85.84,86.27,87.69,86.32
2016-06-15,CVX,85.84,86.27,87.15,86.88,87.84
2016-06-16,CVX,86.27,87.15,87.69,88.71,89.04
2016-06-17,CVX,87.15,87.69,86.88,86.55,88.46
2016-06-20,CVX,87.69,86.88,88.71,85.24,87.97
2016-06-21,CVX,86.88,88.71,86.55,86.32,88.83
2016-06-22,CVX,88.71,86.55,85.24,87.84,87.53
2016-06-23,CVX,86.55,85.24,86.32,89.04,88.99
2016-06-24,CVX,85.24,86.32,87.84,88.46,89.51
2016-06-27,CVX,86.32,87.84,89.04,87.97,90.69
2016-06-28,CVX,87.84,89.04,88.46,88.83,90.58
2016-06-29,CVX,89.04,88.46,87.97,87.53,90.63
2016-06-30,CVX,88.46,87.97,88.83,88.99,90.91
2016-07-01,CVX,87.97,88.83,87.53,89.51,90.11
2016-07-05,CVX,88.83,87.53,88.99,90.69,90.07
2016-07-06,CVX,87.53,88.99,89.51,90.58,89.68
2016-07-07,CVX,88.99,89.51,90.69,90.63,89.51
2016-07-08,CVX,89.51,90.69,90.58,90.91,89.74
2016-07-11,CVX,90.69,90.58,90.63,90.11,87.54
2016-07-12,CVX,90.58,90.63,90.91,90.07,87.21
2016-07-13,CVX,90.63,90.91,90.11,89.68,86.85
2016-07-14,CVX,90.91,90.11,90.07,89.51,86.46
2016-07-15,CVX,90.11,90.07,89.68,89.74,87.04
2016-07-18,CVX,90.07,89.68,89.51,87.54,84.18
2016-07-19,CVX,89.68,89.51,89.74,87.21,84.59
2016-07-20,CVX,89.51,89.74,87.54,86.85,85.45
2016-07-21,CVX,89.74,87.54,87.21,86.46,85.27
2016-07-22,CVX,87.54,87.21,86.85,87.04,85.37
2016-07-25,CVX,87.21,86.85,86.46,84.18,85.95
2016-07-26,CVX,86.85,86.46,87.04,84.59,86.06
2016-07-27,CVX,86.46,87.04,84.18,85.45,85.05
2016-07-28,CVX,87.04,84.18,84.59,85.27,86.12
2016-07-29,CVX,84.18,84.59,85.45,85.37,86.77
2016-08-01,CVX,84.59,85.45,85.27,85.95,87.29
2016-08-02,CVX,85.45,85.27,85.37,86.06,87.16
2016-08-03,CVX,85.27,85.37,85.95,85.05,87.74
2016-08-04,CVX,85.37,85.95,86.06,86.12,88.88
2016-08-05,CVX,85.95,86.06,85.05,86.77,87.82
2016-08-08,CVX,86.06,85.05,86.12,87.29,87.5
2016-08-09,CVX,85.05,86.12,86.77,87.16,87.27
2016-08-10,CVX,86.12,86.77,87.29,87.74,87.72
2016-08-11,CVX,86.77,87.29,87.16,88.88,87.45
2016-08-12,CVX,87.29,87.16,87.74,87.82,86.96
2016-08-15,CVX,87.16,87.74,88.88,87.5,87.59
2016-08-16,CVX,87.74,88.88,87.82,87.27,87.29
2016-08-17,CVX,88.88,87.82,87.5,87.72,86.33
2016-08-18,CVX,87.82,87.5,87.27,87.45,86.01
2016-08-19,CVX,87.5,87.27,87.72,86.96,86.63
2016-08-22,CVX,87.27,87.72,87.45,87.59,87.92
2016-08-23,CVX,87.72,87.45,86.96,87.29,88.3
2016-08-24,CVX,87.45,86.96,87.59,86.33,89.37
2016-08-25,CVX,86.96,87.59,87.29,86.01,86.92
2016-08-26,CVX,87.59,87.29,86.33,86.63,87.76
2016-08-29,CVX,87.29,86.33,86.01,87.92,85.34
2016-08-30,CVX,86.33,86.01,86.63,88.3,84.47
2016-08-31,CVX,86.01,86.63,87.92,89.37,85.4
2016-09-01,CVX,86.63,87.92,88.3,86.92,83.98
2016-09-02,CVX,87.92,88.3,89.37,87.76,84.15
2016-09-06,CVX,88.3,89.37,86.92,85.34,83.86
2016-09-07,CVX,89.37,86.92,87.76,84.47,85.51
2016-09-08,CVX,86.92,87.76,85.34,85.4,85.81
2016-09-09,CVX,87.76,85.34,84.47,83.98,85.16
2016-09-12,CVX,85.34,84.47,85.4,84.15,84.78
2016-09-13,CVX,84.47,85.4,83.98,83.86,84.95
2016-09-14,CVX,85.4,83.98,84.15,85.51,87.68
2016-09-15,CVX,83.98,84.15,83.86,85.81,86.92
2016-09-16,CVX,84.15,83.86,85.51,85.16,88.34
2016-09-19,CVX,83.86,85.51,85.81,84.78,87.93
2016-09-20,CVX,85.51,85.81,85.16,84.95,86.92
2016-09-21,CVX,85.81,85.16,84.78,87.68,87.74
2016-09-22,CVX,85.16,84.78,84.95,86.92,87.7
2016-09-23,CVX,84.78,84.95,87.68,88.34,87.78
2016-09-26,CVX,84.95,87.68,86.92,87.93,89.25
2016-09-27,CVX,87.68,86.92,88.34,86.92,88.44
2016-09-28,CVX,86.92,88.34,87.93,87.74,87.68
2016-09-29,CVX,88.34,87.93,86.92,87.7,86.51
2016-09-30,CVX,87.93,86.92,87.74,87.78,86.76
