Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,DIS,89.77,87.85,89.76,88.59,85.99
2016-02-01,DIS,87.85,89.76,90.03,86.91,87.66
2016-02-02,DIS,89.76,90.03,88.59,87.1,90.1
2016-02-03,DIS,90.03,88.59,86.91,83.82,89.79
2016-02-04,DIS,88.59,86.91,87.1,85.2,89.64
2016-02-05,DIS,86.91,87.1,83.82,85.99,90.92
2016-02-08,DIS,87.1,83.82,85.2,87.66,89.99
2016-02-09,DIS,83.82,85.2,85.99,90.1,90.03
2016-02-10,DIS,85.2,85.99,87.66,89.79,90.24
2016-02-11,DIS,85.99,87.66,90.1,89.64,89.92
2016-02-12,DIS,87.66,90.1,89.79,90.92,90.12
2016-02-16,DIS,90.1,89.79,89.64,89.99,92.13
2016-02-17,DIS,89.79,89.64,90.92,90.03,91.51
2016-02-18,DIS,89.64,90.92,89.99,90.24,93.23
2016-02-19,DIS,90.92,89.99,90.03,89.92,92.91
2016-02-22,DIS,89.99,90.03,90.24,90.12,93.77
2016-02-23,DIS,90.03,90.24,89.92,92.13,92.29
2016-02-24,DIS,90.24,89.92,90.12,91.51,92.14
2016-02-25,DIS,89.92,90.12,92.13,93.23,91.55
2016-02-26,DIS,90.12,92.13,91.51,92.91,92.4
2016-02-29,DIS,92.13,91.51,93.23,93.77,93.22
2016-03-01,DIS,91.51,93.23,92.91,92.29,92.68
2016-03-02,DIS,93.23,92.91,93.77,92.14,92.87
2016-03-03,DIS,92.91,93.77,92.29,91.55,93.97
2016-03-04,DIS,93.77,92.29,92.14,92.4,93.59
2016-03-07,DIS,92.29,92.14,91.55,93.22,92.89
2016-03-08,DIS,92.14,91.55,92.4,92.68,92.06
2016-03-09,DIS,91.55,92.4,93.22,92.87,91.35
2016-03-10,DIS,92.4,93.22,92.68,93.97,91.72
2016-03-11,DIS,93.22,92.68,92.87,93.59,92.54
2016-03-14,DIS,92.68,92.87,93.97,92.89,92.61
2016-03-15,DIS,92.87,93.97,93.59,92.06,93.32
2016-03-16,DIS,93.97,93.59,92.89,91.35,93.69
2016-03-17,DIS,93.59,92.89,92.06,91.72,93.47
2016-03-18,DIS,92.89,92.06,91.35,92.54,93.1
2016-03-21,DIS,92.06,91.35,91.72,92.61,91.51
2016-03-22,DIS,91.35,91.72,92.54,93.32,91.97
2016-03-23,DIS,91.72,92.54,92.61,93.69,90.72
