Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2019-08-30,DOW,39.89,40.59,41.38,42.42,46.77
2019-09-03,DOW,40.59,41.38,41.26,44.2,45.8
2019-09-04,DOW,41.38,41.26,42.42,44.73,45.34
2019-09-05,DOW,41.26,42.42,44.2,44.82,45.46
2019-09-06,DOW,42.42,44.2,44.73,45.99,46.0
2019-09-09,DOW,44.2,44.73,44.82,46.77,45.72
2019-09-10,DOW,44.73,44.82,45.99,45.8,44.47
2019-09-11,DOW,44.82,45.99,46.77,45.34,45.5
2019-09-12,DOW,45.99,46.77,45.8,45.46,45.07
2019-09-13,DOW,46.77,45.8,45.34,46.0,44.92
2019-09-16,DOW,45.8,45.34,45.46,45.72,45.47
2019-09-17,DOW,45.34,45.46,46.0,44.47,43.87
2019-09-18,DOW,45.46,46.0,45.72,45.5,42.87
2019-09-19,DOW,46.0,45.72,44.47,45.07,43.24
2019-09-20,DOW,45.72,44.47,45.5,44.92,43.26
2019-09-23,DOW,44.47,45.5,45.07,45.47,43.1
2019-09-24,DOW,45.5,45.07,44.92,43.87,41.84
2019-09-25,DOW,45.07,44.92,45.47,42.87,42.0
2019-09-26,DOW,44.92,45.47,43.87,43.24,42.86
2019-09-27,DOW,45.47,43.87,42.87,43.26,44.97
2019-09-30,DOW,43.87,42.87,43.24,43.1,44.68
2019-10-01,DOW,42.87,43.24,43.26,41.84,45.04
2019-10-02,DOW,43.24,43.26,43.1,42.0,44.96
2019-10-03,DOW,43.26,43.1,41.84,42.86,45.62
2019-10-04,DOW,43.1,41.84,42.0,44.97,45.76
2019-10-07,DOW,41.84,42.0,42.86,44.68,44.96
2019-10-08,DOW,42.0,42.86,44.97,45.04,44.68
2019-10-09,DOW,42.86,44.97,44.68,44.96,45.07
2019-10-10,DOW,44.97,44.68,45.04,45.62,47.21
2019-10-11,DOW,44.68,45.04,44.96,45.76,48.17
2019-10-14,DOW,45.04,44.96,45.62,44.96,48.87
2019-10-15,DOW,44.96,45.62,45.76,44.68,49.13
2019-10-16,DOW,45.62,45.76,44.96,45.07,48.69
2019-10-17,DOW,45.76,44.96,44.68,47.21,48.18
2019-10-18,DOW,44.96,44.68,45.07,48.17,49.92
2019-10-21,DOW,44.68,45.07,47.21,48.87,51.69
2019-10-22,DOW,45.07,47.21,48.17,49.13,51.72
2019-10-23,DOW,47.21,48.17,48.87,48.69,51.8
2019-10-24,DOW,48.17,48.87,49.13,48.18,53.25
2019-10-25,DOW,48.87,49.13,48.69,49.92,53.43
2019-10-28,DOW,49.13,48.69,48.18,51.69,53.26
2019-10-29,DOW,48.69,48.18,49.92,51.72,52.64
2019-10-30,DOW,48.18,49.92,51.69,51.8,51.2
2019-10-31,DOW,49.92,51.69,51.72,53.25,51.48
2019-11-01,DOW,51.69,51.72,51.8,53.43,52.35
2019-11-04,DOW,51.72,51.8,53.25,53.26,51.83
2019-11-05,DOW,51.8,53.25,53.43,52.64,50.95
2019-11-06,DOW,53.25,53.43,53.26,51.2,50.26
2019-11-07,DOW,53.43,53.26,52.64,51.48,51.41
2019-11-08,DOW,53.26,52.64,51.2,52.35,51.72
2019-11-11,DOW,52.64,51.2,51.48,51.83,52.67
2019-11-12,DOW,51.2,51.48,52.35,50.95,52.84
2019-11-13,DOW,51.48,52.35,51.83,50.26,52.46
2019-11-14,DOW,52.35,51.83,50.95,51.41,51.58
2019-11-15,DOW,51.83,50.95,50.26,51.72,51.38
2019-11-18,DOW,50.95,50.26,51.41,52.67,50.08
2019-11-19,DOW,50.26,51.41,51.72,52.84,50.53
2019-11-20,DOW,51.41,51.72,52.67,52.46,50.26
2019-11-21,DOW,51.72,52.67,52.84,51.58,51.43
2019-11-22,DOW,52.67,52.84,52.46,51.38,51.48
2019-11-25,DOW,52.84,52.46,51.58,50.08,51.35
2019-11-26,DOW,52.46,51.58,51.38,50.53,51.32
2019-11-27,DOW,51.58,51.38,50.08,50.26,52.62
2019-11-29,DOW,51.38,50.08,50.53,51.43,51.49
2019-12-02,DOW,50.08,50.53,50.26,51.48,52.35
2019-12-03,DOW,50.53,50.26,51.43,51.35,52.83
2019-12-04,DOW,50.26,51.43,51.48,51.32,52.43
2019-12-05,DOW,51.43,51.48,51.35,52.62,52.69
2019-12-06,DOW,51.48,51.35,51.32,51.49,52.78
2019-12-09,DOW,51.35,51.32,52.62,52.35,53.09
2019-12-10,DOW,51.32,52.62,51.49,52.83,53.06
2019-12-11,DOW,52.62,51.49,52.35,52.43,53.37
2019-12-12,DOW,51.49,52.35,52.83,52.69,52.99
2019-12-13,DOW,52.35,52.83,52.43,52.78,52.52
2019-12-16,DOW,52.83,52.43,52.69,53.09,52.89
2019-12-17,DOW,52.43,52.69,52.78,53.06,51.95
2019-12-18,DOW,52.69,52.78,53.09,53.37,50.66
2019-12-19,DOW,52.78,53.09,53.06,52.99,50.46
2019-12-20,DOW,53.09,53.06,53.37,52.52,50.44
2019-12-23,DOW,53.06,53.37,52.99,52.89,50.96
2019-12-24,DOW,53.37,52.99,52.52,51.95,50.44
2019-12-26,DOW,52.99,52.52,52.89,50.66,49.77
2019-12-27,DOW,52.52,52.89,51.95,50.46,50.59
2019-12-30,DOW,52.89,51.95,50.66,50.44,50.49
2019-12-31,DOW,51.95,50.66,50.46,50.96,50.52
2020-01-02,DOW,50.66,50.46,50.44,50.44,50.72
2020-01-03,DOW,50.46,50.44,50.96,49.77,51.55
2020-01-06,DOW,50.44,50.96,50.44,50.59,50.84
2020-01-07,DOW,50.96,50.44,49.77,50.49,49.16
2020-01-08,DOW,50.44,49.77,50.59,50.52,48.56
2020-01-09,DOW,49.77,50.59,50.49,50.72,46.86
2020-01-10,DOW,50.59,50.49,50.52,51.55,45.6
2020-01-13,DOW,50.49,50.52,50.72,50.84,45.58
2020-01-14,DOW,50.52,50.72,51.55,49.16,48.0
2020-01-15,DOW,50.72,51.55,50.84,48.56,46.84
2020-01-16,DOW,51.55,50.84,49.16,46.86,44.52
2020-01-17,DOW,50.84,49.16,48.56,45.6,45.17
2020-01-21,DOW,49.16,48.56,46.86,45.58,46.44
2020-01-22,DOW,48.56,46.86,45.6,48.0,47.95
2020-01-23,DOW,46.86,45.6,45.58,46.84,47.55
2020-01-24,DOW,45.6,45.58,48.0,44.52,46.42
2020-01-27,DOW,45.58,48.0,46.84,45.17,46.57
2020-01-28,DOW,48.0,46.84,44.52,46.44,47.15
2020-01-29,DOW,46.84,44.52,45.17,47.95,47.72
2020-01-30,DOW,44.52,45.17,46.44,47.55,46.68
2020-01-31,DOW,45.17,46.44,47.95,46.42,47.0
2020-02-03,DOW,46.44,47.95,47.55,46.57,46.14
2020-02-04,DOW,47.95,47.55,46.42,47.15,45.96
2020-02-05,DOW,47.55,46.42,46.57,47.72,47.12
2020-02-06,DOW,46.42,46.57,47.15,46.68,46.68
2020-02-07,DOW,46.57,47.15,47.72,47.0,44.69
2020-02-10,DOW,47.15,47.72,46.68,46.14,42.48
2020-02-11,DOW,47.72,46.68,47.0,45.96,41.61
2020-02-12,DOW,46.68,47.0,46.14,47.12,38.85
2020-02-13,DOW,47.0,46.14,45.96,46.68,39.7
2020-02-14,DOW,46.14,45.96,47.12,44.69,40.69
2020-02-18,DOW,45.96,47.12,46.68,42.48,39.85
2020-02-19,DOW,47.12,46.68,44.69,41.61,41.17
2020-02-20,DOW,46.68,44.69,42.48,38.85,39.4
2020-02-21,DOW,44.69,42.48,41.61,39.7,38.28
2020-02-24,DOW,42.48,41.61,38.85,40.69,29.99
2020-02-25,DOW,41.61,38.85,39.7,39.85,30.85
2020-02-26,DOW,38.85,39.7,40.69,41.17,27.5
2020-02-27,DOW,39.7,40.69,39.85,39.4,23.25
2020-02-28,DOW,40.69,39.85,41.17,38.28,25.24
2020-03-02,DOW,39.85,41.17,39.4,29.99,21.61
2020-03-03,DOW,41.17,39.4,38.28,30.85,26.13
2020-03-04,DOW,39.4,38.28,29.99,27.5,25.98
2020-03-05,DOW,38.28,29.99,30.85,23.25,27.63
2020-03-06,DOW,29.99,30.85,27.5,25.24,26.96
2020-03-09,DOW,30.85,27.5,23.25,21.61,26.11
2020-03-10,DOW,27.5,23.25,25.24,26.13,27.97
2020-03-11,DOW,23.25,25.24,21.61,25.98,29.85
2020-03-12,DOW,25.24,21.61,26.13,27.63,29.16
2020-03-13,DOW,21.61,26.13,25.98,26.96,28.06
2020-03-16,DOW,26.13,25.98,27.63,26.11,28.15
2020-03-17,DOW,25.98,27.63,26.96,27.97,28.73
2020-03-18,DOW,27.63,26.96,26.11,29.85,26.56
2020-03-19,DOW,26.96,26.11,27.97,29.16,27.54
2020-03-20,DOW,26.11,27.97,29.85,28.06,27.48
2020-03-23,DOW,27.97,29.85,29.16,28.15,30.0
2020-03-24,DOW,29.85,29.16,28.06,28.73,31.76
2020-03-25,DOW,29.16,28.06,28.15,26.56,34.18
2020-03-26,DOW,28.06,28.15,28.73,27.54,35.92
2020-03-27,DOW,28.15,28.73,26.56,27.48,34.61
2020-03-30,DOW,28.73,26.56,27.54,30.0,34.75
2020-03-31,DOW,26.56,27.54,27.48,31.76,31.66
2020-04-01,DOW,27.54,27.48,30.0,34.18,31.07
2020-04-02,DOW,27.48,30.0,31.76,35.92,32.83
2020-04-03,DOW,30.0,31.76,34.18,34.61,30.98
2020-04-06,DOW,31.76,34.18,35.92,34.75,30.34
2020-04-07,DOW,34.18,35.92,34.61,31.66,31.28
2020-04-08,DOW,35.92,34.61,34.75,31.07,31.99
2020-04-09,DOW,34.61,34.75,31.66,32.83,32.54
2020-04-13,DOW,34.75,31.66,31.07,30.98,33.83
2020-04-14,DOW,31.66,31.07,32.83,30.34,35.24
2020-04-15,DOW,31.07,32.83,30.98,31.28,36.81
2020-04-16,DOW,32.83,30.98,30.34,31.99,36.05
2020-04-17,DOW,30.98,30.34,31.28,32.54,33.33
2020-04-20,DOW,30.34,31.28,31.99,33.83,32.48
2020-04-21,DOW,31.28,31.99,32.54,35.24,32.78
2020-04-22,DOW,31.99,32.54,33.83,36.81,31.4
2020-04-23,DOW,32.54,33.83,35.24,36.05,32.27
2020-04-24,DOW,33.83,35.24,36.81,33.33,33.73
2020-04-27,DOW,35.24,36.81,36.05,32.48,33.3
2020-04-28,DOW,36.81,36.05,33.33,32.78,33.2
2020-04-29,DOW,36.05,33.33,32.48,31.4,31.78
2020-04-30,DOW,33.33,32.48,32.78,32.27,32.92
2020-05-01,DOW,32.48,32.78,31.4,33.73,32.97
2020-05-04,DOW,32.78,31.4,32.27,33.3,36.09
2020-05-05,DOW,31.4,32.27,33.73,33.2,35.01
2020-05-06,DOW,32.27,33.73,33.3,31.78,35.54
2020-05-07,DOW,33.73,33.3,33.2,32.92,35.19
2020-05-08,DOW,33.3,33.2,31.78,32.97,35.49
2020-05-11,DOW,33.2,31.78,32.92,36.09,38.11
2020-05-12,DOW,31.78,32.92,32.97,35.01,39.12
2020-05-13,DOW,32.92,32.97,36.09,35.54,38.71
2020-05-14,DOW,32.97,36.09,35.01,35.19,38.6
2020-05-15,DOW,36.09,35.01,35.54,35.49,38.61
2020-05-18,DOW,35.01,35.54,35.19,38.11,40.6
2020-05-19,DOW,35.54,35.19,35.49,39.12,41.63
2020-05-20,DOW,35.19,35.49,38.11,38.71,42.71
2020-05-21,DOW,35.49,38.11,39.12,38.6,43.97
2020-05-22,DOW,38.11,39.12,38.71,38.61,45.9
2020-05-26,DOW,39.12,38.71,38.6,40.6,44.41
2020-05-27,DOW,38.71,38.6,38.61,41.63,43.58
2020-05-28,DOW,38.6,38.61,40.6,42.71,39.26
2020-05-29,DOW,38.61,40.6,41.63,43.97,41.23
2020-06-01,DOW,40.6,41.63,42.71,45.9,41.98
2020-06-02,DOW,41.63,42.71,43.97,44.41,42.25
2020-06-03,DOW,42.71,43.97,45.9,43.58,41.17
2020-06-04,DOW,43.97,45.9,44.41,39.26,41.58
2020-06-05,DOW,45.9,44.41,43.58,41.23,41.65
2020-06-08,DOW,44.41,43.58,39.26,41.98,41.74
2020-06-09,DOW,43.58,39.26,41.23,42.25,41.35
2020-06-10,DOW,39.26,41.23,41.98,41.17,38.45
2020-06-11,DOW,41.23,41.98,42.25,41.58,39.98
2020-06-12,DOW,41.98,42.25,41.17,41.65,39.8
2020-06-15,DOW,42.25,41.17,41.58,41.74,40.98
2020-06-16,DOW,41.17,41.58,41.65,41.35,40.76
2020-06-17,DOW,41.58,41.65,41.74,38.45,40.75
2020-06-18,DOW,41.65,41.74,41.35,39.98,41.59
2020-06-19,DOW,41.74,41.35,38.45,39.8,42.45
2020-06-22,DOW,41.35,38.45,39.98,40.98,41.69
2020-06-23,DOW,38.45,39.98,39.8,40.76,40.35
2020-06-24,DOW,39.98,39.8,40.98,40.75,39.44
2020-06-25,DOW,39.8,40.98,40.76,41.59,40.76
2020-06-26,DOW,40.98,40.76,40.75,42.45,41.24
2020-06-29,DOW,40.76,40.75,41.59,41.69,42.44
2020-06-30,DOW,40.75,41.59,42.45,40.35,43.33
2020-07-01,DOW,41.59,42.45,41.69,39.44,43.83
2020-07-02,DOW,42.45,41.69,40.35,40.76,43.67
2020-07-06,DOW,41.69,40.35,39.44,41.24,42.3
2020-07-07,DOW,40.35,39.44,40.76,42.44,43.04
2020-07-08,DOW,39.44,40.76,41.24,43.33,44.34
2020-07-09,DOW,40.76,41.24,42.44,43.83,42.82
2020-07-10,DOW,41.24,42.44,43.33,43.67,42.61
2020-07-13,DOW,42.44,43.33,43.83,42.3,44.0
2020-07-14,DOW,43.33,43.83,43.67,43.04,42.62
2020-07-15,DOW,43.83,43.67,42.3,44.34,43.52
2020-07-16,DOW,43.67,42.3,43.04,42.82,41.73
2020-07-17,DOW,42.3,43.04,44.34,42.61,41.06
2020-07-20,DOW,43.04,44.34,42.82,44.0,40.09
2020-07-21,DOW,44.34,42.82,42.61,42.62,41.32
2020-07-22,DOW,42.82,42.61,44.0,43.52,41.99
2020-07-23,DOW,42.61,44.0,42.62,41.73,42.05
2020-07-24,DOW,44.0,42.62,43.52,41.06,42.63
2020-07-27,DOW,42.62,43.52,41.73,40.09,44.8
2020-07-28,DOW,43.52,41.73,41.06,41.32,44.5
2020-07-29,DOW,41.73,41.06,40.09,41.99,44.28
2020-07-30,DOW,41.06,40.09,41.32,42.05,44.43
2020-07-31,DOW,40.09,41.32,41.99,42.63,44.87
