Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,GS,148.21,140.83,141.74,145.26,135.66
2016-02-01,GS,140.83,141.74,145.28,138.55,138.34
2016-02-02,GS,141.74,145.28,145.26,137.63,140.12
2016-02-03,GS,145.28,145.26,138.55,136.68,137.14
2016-02-04,GS,145.26,138.55,137.63,130.61,136.38
2016-02-05,GS,138.55,137.63,136.68,135.66,138.13
2016-02-08,GS,137.63,136.68,130.61,138.34,134.53
2016-02-09,GS,136.68,130.61,135.66,140.12,135.13
2016-02-10,GS,130.61,135.66,138.34,137.14,137.63
2016-02-11,GS,135.66,138.34,140.12,136.38,139.48
2016-02-12,GS,138.34,140.12,137.14,138.13,139.42
2016-02-16,GS,140.12,137.14,136.38,134.53,144.19
2016-02-17,GS,137.14,136.38,138.13,135.13,143.77
2016-02-18,GS,136.38,138.13,134.53,137.63,144.83
2016-02-19,GS,138.13,134.53,135.13,139.48,146.23
2016-02-22,GS,134.53,135.13,137.63,139.42,144.84
2016-02-23,GS,135.13,137.63,139.48,144.19,141.35
2016-02-24,GS,137.63,139.48,139.42,143.77,139.77
2016-02-25,GS,139.48,139.42,144.19,144.83,140.81
2016-02-26,GS,139.42,144.19,143.77,146.23,143.53
2016-02-29,GS,144.19,143.77,144.83,144.84,143.11
2016-03-01,GS,143.77,144.83,146.23,141.35,141.75
2016-03-02,GS,144.83,146.23,144.84,139.77,140.36
2016-03-03,GS,146.23,144.84,141.35,140.81,142.57
2016-03-04,GS,144.84,141.35,139.77,143.53,146.94
2016-03-07,GS,141.35,139.77,140.81,143.11,145.72
2016-03-08,GS,139.77,140.81,143.53,141.75,143.77
2016-03-09,GS,140.81,143.53,143.11,140.36,143.66
2016-03-10,GS,143.53,143.11,141.75,142.57,142.65
2016-03-11,GS,143.11,141.75,140.36,146.94,143.44
2016-03-14,GS,141.75,140.36,142.57,145.72,144.55
2016-03-15,GS,140.36,142.57,146.94,143.77,145.92
2016-03-16,GS,142.57,146.94,145.72,143.66,146.36
2016-03-17,GS,146.94,145.72,143.77,142.65,149.01
2016-03-18,GS,145.72,143.77,143.66,143.44,147.1
2016-03-21,GS,143.77,143.66,142.65,144.55,144.84
2016-03-22,GS,143.66,142.65,143.44,145.92,144.7
2016-03-23,GS,142.65,143.44,144.55,146.36,140.24
2016-03-24,GS,143.44,144.55,145.92,149.01,140.12
2016-03-28,GS,144.55,145.92,146.36,147.1,141.91
2016-03-29,GS,145.92,146.36,149.01,144.84,143.87
2016-03-30,GS,146.36,149.01,147.1,144.7,149.04
2016-03-31,GS,149.01,147.1,144.84,140.24,150.03
2016-04-01,GS,147.1,144.84,144.7,140.12,147.8
2016-04-04,GS,144.84,144.7,140.24,141.91,148.27
2016-04-05,GS,144.7,140.24,140.12,143.87,151.65
2016-04-06,GS,140.24,140.12,141.91,149.04,155.69
2016-04-07,GS,140.12,141.91,143.87,150.03,154.14
2016-04-08,GS,141.91,143.87,149.04,147.8,155.47
2016-04-11,GS,143.87,149.04,150.03,148.27,153.93
2016-04-12,GS,149.04,150.03,147.8,151.65,154.62
2016-04-13,GS,150.03,147.8,148.27,155.69,155.63
2016-04-14,GS,147.8,148.27,151.65,154.14,153.18
2016-04-15,GS,148.27,151.65,155.69,155.47,153.01
2016-04-18,GS,151.65,155.69,154.14,153.93,154.94
2016-04-19,GS,155.69,154.14,155.47,154.62,152.11
2016-04-20,GS,154.14,155.47,153.93,155.63,149.25
2016-04-21,GS,155.47,153.93,154.62,153.18,148.74
2016-04-22,GS,153.93,154.62,155.63,153.01,148.11
2016-04-25,GS,154.62,155.63,153.18,154.94,146.86
2016-04-26,GS,155.63,153.18,153.01,152.11,150.5
2016-04-27,GS,153.18,153.01,154.94,149.25,148.64
2016-04-28,GS,153.01,154.94,152.11,148.74,147.38
2016-04-29,GS,154.94,152.11,149.25,148.11,144.84
2016-05-02,GS,152.11,149.25,148.74,146.86,144.87
2016-05-03,GS,149.25,148.74,148.11,150.5,144.19
2016-05-04,GS,148.74,148.11,146.86,148.64,149.12
2016-05-05,GS,148.11,146.86,150.5,147.38,144.24
2016-05-06,GS,146.86,150.5,148.64,144.84,144.06
2016-05-09,GS,150.5,148.64,147.38,144.87,144.94
2016-05-10,GS,148.64,147.38,144.84,144.19,146.93
2016-05-11,GS,147.38,144.84,144.87,149.12,150.35
2016-05-12,GS,144.84,144.87,144.19,144.24,148.45
2016-05-13,GS,144.87,144.19,149.12,144.06,149.35
2016-05-16,GS,144.19,149.12,144.24,144.94,149.3
2016-05-17,GS,149.12,144.24,144.06,146.93,149.76
2016-05-18,GS,144.24,144.06,144.94,150.35,149.12
2016-05-19,GS,144.06,144.94,146.93,148.45,145.74
2016-05-20,GS,144.94,146.93,150.35,149.35,147.04
2016-05-23,GS,146.93,150.35,148.45,149.3,145.27
2016-05-24,GS,150.35,148.45,149.35,149.76,144.77
2016-05-25,GS,148.45,149.35,149.3,149.12,143.4
2016-05-26,GS,149.35,149.3,149.76,145.74,140.33
2016-05-27,GS,149.3,149.76,149.12,147.04,139.15
2016-05-31,GS,149.76,149.12,145.74,145.27,136.86
2016-06-01,GS,149.12,145.74,147.04,144.77,136.83
2016-06-02,GS,145.74,147.04,145.27,143.4,137.27
2016-06-03,GS,147.04,145.27,144.77,140.33,136.35
2016-06-06,GS,145.27,144.77,143.4,139.15,138.32
2016-06-07,GS,144.77,143.4,140.33,136.86,138.88
2016-06-08,GS,143.4,140.33,139.15,136.83,138.69
2016-06-09,GS,140.33,139.15,136.86,137.27,142.92
2016-06-10,GS,139.15,136.86,136.83,136.35,132.81
2016-06-13,GS,136.86,136.83,137.27,138.32,130.61
2016-06-14,GS,136.83,137.27,136.35,138.88,133.32
2016-06-15,GS,137.27,136.35,138.32,138.69,136.22
2016-06-16,GS,136.35,138.32,138.88,142.92,139.1
2016-06-17,GS,138.32,138.88,138.69,132.81,138.79
2016-06-20,GS,138.88,138.69,142.92,130.61,135.23
2016-06-21,GS,138.69,142.92,132.81,133.32,136.29
2016-06-22,GS,142.92,132.81,130.61,136.22,137.62
2016-06-23,GS,132.81,130.61,133.32,139.1,140.79
2016-06-24,GS,130.61,133.32,136.22,138.79,142.48
2016-06-27,GS,133.32,136.22,139.1,135.23,146.91
2016-06-28,GS,136.22,139.1,138.79,136.29,147.84
2016-06-29,GS,139.1,138.79,135.23,137.62,152.17
2016-06-30,GS,138.79,135.23,136.29,140.79,151.33
2016-07-01,GS,135.23,136.29,137.62,142.48,152.91
2016-07-05,GS,136.29,137.62,140.79,146.91,151.11
2016-07-06,GS,137.62,140.79,142.48,147.84,151.45
2016-07-07,GS,140.79,142.48,146.91,152.17,149.84
