Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,HD,113.82,112.71,111.38,104.75,104.65
2016-02-01,HD,112.71,111.38,108.96,100.63,107.45
2016-02-02,HD,111.38,108.96,104.75,102.44,109.05
2016-02-03,HD,108.96,104.75,100.63,102.86,107.94
2016-02-04,HD,104.75,100.63,102.44,101.91,109.49
2016-02-05,HD,100.63,102.44,102.86,104.65,110.53
2016-02-08,HD,102.44,102.86,101.91,107.45,112.04
2016-02-09,HD,102.86,101.91,104.65,109.05,113.01
2016-02-10,HD,101.91,104.65,107.45,107.94,114.14
2016-02-11,HD,104.65,107.45,109.05,109.49,113.6
2016-02-12,HD,107.45,109.05,107.94,110.53,111.67
2016-02-16,HD,109.05,107.94,109.49,112.04,113.09
2016-02-17,HD,107.94,109.49,110.53,113.01,113.0
2016-02-18,HD,109.49,110.53,112.04,114.14,114.08
2016-02-19,HD,110.53,112.04,113.01,113.6,112.97
2016-02-22,HD,112.04,113.01,114.14,111.67,113.52
2016-02-23,HD,113.01,114.14,113.6,113.09,114.64
2016-02-24,HD,114.14,113.6,111.67,113.0,114.01
2016-02-25,HD,113.6,111.67,113.09,114.08,113.89
2016-02-26,HD,111.67,113.09,113.0,112.97,116.21
2016-02-29,HD,113.09,113.0,114.08,113.52,116.56
2016-03-01,HD,113.0,114.08,112.97,114.64,117.34
2016-03-02,HD,114.08,112.97,113.52,114.01,118.01
2016-03-03,HD,112.97,113.52,114.64,113.89,118.4
2016-03-04,HD,113.52,114.64,114.01,116.21,118.83
2016-03-07,HD,114.64,114.01,113.89,116.56,118.52
2016-03-08,HD,114.01,113.89,116.21,117.34,118.14
2016-03-09,HD,113.89,116.21,116.56,118.01,117.8
2016-03-10,HD,116.21,116.56,117.34,118.4,118.02
2016-03-11,HD,116.56,117.34,118.01,118.83,118.58
2016-03-14,HD,117.34,118.01,118.4,118.52,119.84
2016-03-15,HD,118.01,118.4,118.83,118.14,120.7
2016-03-16,HD,118.4,118.83,118.52,117.8,120.71
2016-03-17,HD,118.83,118.52,118.14,118.02,121.99
2016-03-18,HD,118.52,118.14,117.8,118.58,121.99
2016-03-21,HD,118.14,117.8,118.02,119.84,121.75
2016-03-22,HD,117.8,118.02,118.58,120.7,122.53
2016-03-23,HD,118.02,118.58,119.84,120.71,121.11
2016-03-24,HD,118.58,119.84,120.7,121.99,120.88
2016-03-28,HD,119.84,120.7,120.71,121.99,120.33
2016-03-29,HD,120.7,120.71,121.99,121.75,121.57
2016-03-30,HD,120.71,121.99,121.99,122.53,121.08
