Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,IBM,100.9,99.37,100.81,103.92,98.84
2016-02-01,IBM,99.37,100.81,103.18,103.69,100.23
2016-02-02,IBM,100.81,103.18,103.92,101.31,102.97
2016-02-03,IBM,103.18,103.92,103.69,98.14,108.15
2016-02-04,IBM,103.92,103.69,101.31,96.23,108.67
2016-02-05,IBM,103.69,101.31,98.14,98.84,109.23
2016-02-08,IBM,101.31,98.14,96.23,100.23,108.11
2016-02-09,IBM,98.14,96.23,98.84,102.97,108.44
2016-02-10,IBM,96.23,98.84,100.23,108.15,109.83
2016-02-11,IBM,98.84,100.23,102.97,108.67,107.81
2016-02-12,IBM,100.23,102.97,108.15,109.23,107.0
2016-02-16,IBM,102.97,108.15,108.67,108.11,109.72
2016-02-17,IBM,108.15,108.67,109.23,108.44,111.3
2016-02-18,IBM,108.67,109.23,108.11,109.83,112.52
2016-02-19,IBM,109.23,108.11,108.44,107.81,112.52
2016-02-22,IBM,108.11,108.44,109.83,107.0,114.44
2016-02-23,IBM,108.44,109.83,107.81,109.72,113.56
2016-02-24,IBM,109.83,107.81,107.0,111.3,114.65
2016-02-25,IBM,107.81,107.0,109.72,112.52,114.47
2016-02-26,IBM,107.0,109.72,111.3,112.52,116.25
2016-02-29,IBM,109.72,111.3,112.52,114.44,116.59
2016-03-01,IBM,111.3,112.52,112.52,113.56,116.74
2016-03-02,IBM,112.52,112.52,114.44,114.65,118.23
2016-03-03,IBM,112.52,114.44,113.56,114.47,120.07
2016-03-04,IBM,114.44,113.56,114.65,116.25,120.11
2016-03-07,IBM,113.56,114.65,114.47,116.59,121.37
2016-03-08,IBM,114.65,114.47,116.25,116.74,120.93
2016-03-09,IBM,114.47,116.25,116.59,118.23,118.73
2016-03-10,IBM,116.25,116.59,116.74,120.07,120.81
2016-03-11,IBM,116.59,116.74,118.23,120.11,121.18
2016-03-14,IBM,116.74,118.23,120.07,121.37,121.94
2016-03-15,IBM,118.23,120.07,120.11,120.93,121.19
2016-03-16,IBM,120.07,120.11,121.37,118.73,123.67
2016-03-17,IBM,120.11,121.37,120.93,120.81,124.54
2016-03-18,IBM,121.37,120.93,118.73,121.18,124.18
2016-03-21,IBM,120.93,118.73,120.81,121.94,122.49
2016-03-22,IBM,118.73,120.81,121.18,121.19,122.5
2016-03-23,IBM,120.81,121.18,121.94,123.67,121.06
2016-03-24,IBM,121.18,121.94,121.19,124.54,121.95
