Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,JNJ,92.44,91.59,92.24,89.05,90.18
2016-02-01,JNJ,91.59,92.24,92.03,90.34,90.63
2016-02-02,JNJ,92.24,92.03,89.05,90.32,90.79
2016-02-03,JNJ,92.03,89.05,90.34,90.1,92.33
2016-02-04,JNJ,89.05,90.34,90.32,90.08,92.93
2016-02-05,JNJ,90.34,90.32,90.1,90.18,93.45
2016-02-08,JNJ,90.32,90.1,90.08,90.63,92.85
2016-02-09,JNJ,90.1,90.08,90.18,90.79,93.64
2016-02-10,JNJ,90.08,90.18,90.63,92.33,94.91
2016-02-11,JNJ,90.18,90.63,90.79,92.93,94.37
2016-02-12,JNJ,90.63,90.79,92.33,93.45,93.86
2016-02-16,JNJ,90.79,92.33,92.93,92.85,95.66
2016-02-17,JNJ,92.33,92.93,93.45,93.64,95.5
2016-02-18,JNJ,92.93,93.45,92.85,94.91,95.15
2016-02-19,JNJ,93.45,92.85,93.64,94.37,95.01
2016-02-22,JNJ,92.85,93.64,94.91,93.86,95.23
2016-02-23,JNJ,93.64,94.91,94.37,95.66,94.76
2016-02-24,JNJ,94.91,94.37,93.86,95.5,95.32
2016-02-25,JNJ,94.37,93.86,95.66,95.15,95.58
2016-02-26,JNJ,93.86,95.66,95.5,95.01,96.09
2016-02-29,JNJ,95.66,95.5,95.15,95.23,96.05
2016-03-01,JNJ,95.5,95.15,95.01,94.76,96.14
2016-03-02,JNJ,95.15,95.01,95.23,95.32,95.83
2016-03-03,JNJ,95.01,95.23,94.76,95.58,95.23
2016-03-04,JNJ,95.23,94.76,95.32,96.09,95.91
2016-03-07,JNJ,94.76,95.32,95.58,96.05,95.71
2016-03-08,JNJ,95.32,95.58,96.09,96.14,95.8
2016-03-09,JNJ,95.58,96.09,96.05,95.83,96.8
2016-03-10,JNJ,96.09,96.05,96.14,95.23,96.63
2016-03-11,JNJ,96.05,96.14,95.83,95.91,96.56
2016-03-14,JNJ,96.14,95.83,95.23,95.71,97.37
2016-03-15,JNJ,95.83,95.23,95.91,95.8,97.23
2016-03-16,JNJ,95.23,95.91,95.71,96.8,96.53
2016-03-17,JNJ,95.91,95.71,95.8,96.63,97.41
2016-03-18,JNJ,95.71,95.8,96.8,96.56,96.88
2016-03-21,JNJ,95.8,96.8,96.63,97.37,97.2
2016-03-22,JNJ,96.8,96.63,96.56,97.23,97.62
2016-03-23,JNJ,96.63,96.56,97.37,96.53,97.48
2016-03-24,JNJ,96.56,97.37,97.23,97.41,97.33
