Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,MCD,110.79,110.2,108.0,102.6,104.85
2016-02-01,MCD,110.2,108.0,107.28,103.18,105.96
2016-02-02,MCD,108.0,107.28,102.6,104.03,105.48
2016-02-03,MCD,107.28,102.6,103.18,104.51,104.18
2016-02-04,MCD,102.6,103.18,104.03,103.79,103.61
2016-02-05,MCD,103.18,104.03,104.51,104.85,104.62
2016-02-08,MCD,104.03,104.51,103.79,105.96,103.94
2016-02-09,MCD,104.51,103.79,104.85,105.48,104.08
2016-02-10,MCD,103.79,104.85,105.96,104.18,105.24
2016-02-11,MCD,104.85,105.96,105.48,103.61,104.87
2016-02-12,MCD,105.96,105.48,104.18,104.62,104.98
2016-02-16,MCD,105.48,104.18,103.61,103.94,106.47
2016-02-17,MCD,104.18,103.61,104.62,104.08,106.14
2016-02-18,MCD,103.61,104.62,103.94,105.24,104.54
2016-02-19,MCD,104.62,103.94,104.08,104.87,104.97
2016-02-22,MCD,103.94,104.08,105.24,104.98,104.95
2016-02-23,MCD,104.08,105.24,104.87,106.47,106.09
2016-02-24,MCD,105.24,104.87,104.98,106.14,107.18
2016-02-25,MCD,104.87,104.98,106.47,104.54,107.48
2016-02-26,MCD,104.98,106.47,106.14,104.97,108.89
2016-02-29,MCD,106.47,106.14,104.54,104.95,110.1
2016-03-01,MCD,106.14,104.54,104.97,106.09,110.57
2016-03-02,MCD,104.54,104.97,104.95,107.18,110.65
2016-03-03,MCD,104.97,104.95,106.09,107.48,110.33
2016-03-04,MCD,104.95,106.09,107.18,108.89,111.16
2016-03-07,MCD,106.09,107.18,107.48,110.1,110.91
2016-03-08,MCD,107.18,107.48,108.89,110.57,110.92
2016-03-09,MCD,107.48,108.89,110.1,110.65,111.25
2016-03-10,MCD,108.89,110.1,110.57,110.33,110.45
2016-03-11,MCD,110.1,110.57,110.65,111.16,110.34
2016-03-14,MCD,110.57,110.65,110.33,110.91,111.06
2016-03-15,MCD,110.65,110.33,111.16,110.92,112.72
2016-03-16,MCD,110.33,111.16,110.91,111.25,112.59
2016-03-17,MCD,111.16,110.91,110.92,110.45,113.79
2016-03-18,MCD,110.91,110.92,111.25,110.34,114.28
2016-03-21,MCD,110.92,111.25,110.45,111.06,114.11
2016-03-22,MCD,111.25,110.45,110.34,112.72,114.24
2016-03-23,MCD,110.45,110.34,111.06,112.59,114.79
2016-03-24,MCD,110.34,111.06,112.72,113.79,114.63
2016-03-28,MCD,111.06,112.72,112.59,114.28,114.27
2016-03-29,MCD,112.72,112.59,113.79,114.11,114.32
2016-03-30,MCD,112.59,113.79,114.28,114.24,113.67
2016-03-31,MCD,113.79,114.28,114.11,114.79,114.23
2016-04-01,MCD,114.28,114.11,114.24,114.63,114.47
2016-04-04,MCD,114.11,114.24,114.79,114.27,115.43
2016-04-05,MCD,114.24,114.79,114.63,114.32,115.44
2016-04-06,MCD,114.79,114.63,114.27,113.67,115.16
2016-04-07,MCD,114.63,114.27,114.32,114.23,112.69
2016-04-08,MCD,114.27,114.32,113.67,114.47,112.43
2016-04-11,MCD,114.32,113.67,114.23,115.43,114.18
2016-04-12,MCD,113.67,114.23,114.47,115.44,114.41
2016-04-13,MCD,114.23,114.47,115.43,115.16,114.94
2016-04-14,MCD,114.47,115.43,115.44,112.69,114.6
2016-04-15,MCD,115.43,115.44,115.16,112.43,113.31
2016-04-18,MCD,115.44,115.16,112.69,114.18,114.85
2016-04-19,MCD,115.16,112.69,112.43,114.41,115.03
2016-04-20,MCD,112.69,112.43,114.18,114.94,115.86
2016-04-21,MCD,112.43,114.18,114.41,114.6,115.81
2016-04-22,MCD,114.18,114.41,114.94,113.31,116.98
2016-04-25,MCD,114.41,114.94,114.6,114.85,117.2
2016-04-26,MCD,114.94,114.6,113.31,115.03,117.89
2016-04-27,MCD,114.6,113.31,114.85,115.86,115.69
2016-04-28,MCD,113.31,114.85,115.03,115.81,116.57
2016-04-29,MCD,114.85,115.03,115.86,116.98,115.41
2016-05-02,MCD,115.03,115.86,115.81,117.2,116.14
2016-05-03,MCD,115.86,115.81,116.98,117.89,114.39
2016-05-04,MCD,115.81,116.98,117.2,115.69,113.06
2016-05-05,MCD,116.98,117.2,117.89,116.57,112.24
2016-05-06,MCD,117.2,117.89,115.69,115.41,109.79
2016-05-09,MCD,117.89,115.69,116.57,116.14,110.02
2016-05-10,MCD,115.69,116.57,115.41,114.39,111.04
2016-05-11,MCD,116.57,115.41,116.14,113.06,110.42
2016-05-12,MCD,115.41,116.14,114.39,112.24,110.9
2016-05-13,MCD,116.14,114.39,113.06,109.79,110.41
2016-05-16,MCD,114.39,113.06,112.24,110.02,109.35
2016-05-17,MCD,113.06,112.24,109.79,111.04,109.27
2016-05-18,MCD,112.24,109.79,110.02,110.42,109.35
2016-05-19,MCD,109.79,110.02,111.04,110.9,109.51
2016-05-20,MCD,110.02,111.04,110.42,110.41,110.1
2016-05-23,MCD,111.04,110.42,110.9,109.35,110.01
2016-05-24,MCD,110.42,110.9,110.41,109.27,110.2
