Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,MMM,130.88,130.12,134.21,135.05,136.46
2016-02-01,MMM,130.12,134.21,135.02,135.43,137.85
2016-02-02,MMM,134.21,135.02,135.05,136.17,138.82
2016-02-03,MMM,135.02,135.05,135.43,135.12,138.96
2016-02-04,MMM,135.05,135.43,136.17,133.54,138.67
2016-02-05,MMM,135.43,136.17,135.12,136.46,139.78
2016-02-08,MMM,136.17,135.12,133.54,137.85,138.42
2016-02-09,MMM,135.12,133.54,136.46,138.82,139.35
2016-02-10,MMM,133.54,136.46,137.85,138.96,140.92
2016-02-11,MMM,136.46,137.85,138.82,138.67,140.28
2016-02-12,MMM,137.85,138.82,138.96,139.78,139.04
2016-02-16,MMM,138.82,138.96,138.67,138.42,141.45
2016-02-17,MMM,138.96,138.67,139.78,139.35,141.29
2016-02-18,MMM,138.67,139.78,138.42,140.92,141.26
2016-02-19,MMM,139.78,138.42,139.35,140.28,141.88
2016-02-22,MMM,138.42,139.35,140.92,139.04,142.32
2016-02-23,MMM,139.35,140.92,140.28,141.45,141.99
2016-02-24,MMM,140.92,140.28,139.04,141.29,141.89
2016-02-25,MMM,140.28,139.04,141.45,141.26,141.72
2016-02-26,MMM,139.04,141.45,141.29,141.88,143.48
2016-02-29,MMM,141.45,141.29,141.26,142.32,143.42
2016-03-01,MMM,141.29,141.26,141.88,141.99,143.95
2016-03-02,MMM,141.26,141.88,142.32,141.89,144.38
2016-03-03,MMM,141.88,142.32,141.99,141.72,145.14
2016-03-04,MMM,142.32,141.99,141.89,143.48,146.54
2016-03-07,MMM,141.99,141.89,141.72,143.42,146.1
2016-03-08,MMM,141.89,141.72,143.48,143.95,146.17
2016-03-09,MMM,141.72,143.48,143.42,144.38,145.6
2016-03-10,MMM,143.48,143.42,143.95,145.14,145.77
2016-03-11,MMM,143.42,143.95,144.38,146.54,147.38
2016-03-14,MMM,143.95,144.38,145.14,146.1,145.71
2016-03-15,MMM,144.38,145.14,146.54,146.17,147.8
2016-03-16,MMM,145.14,146.54,146.1,145.6,147.69
2016-03-17,MMM,146.54,146.1,146.17,145.77,148.49
2016-03-18,MMM,146.1,146.17,145.6,147.38,147.49
2016-03-21,MMM,146.17,145.6,145.77,145.71,146.96
2016-03-22,MMM,145.6,145.77,147.38,147.8,147.85
