Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,MRK,44.33,44.04,43.72,43.14,42.83
2016-02-01,MRK,44.04,43.72,42.45,42.66,43.49
2016-02-02,MRK,43.72,42.45,43.14,42.94,44.2
2016-02-03,MRK,42.45,43.14,42.66,43.27,43.96
2016-02-04,MRK,43.14,42.66,42.94,42.67,43.78
2016-02-05,MRK,42.66,42.94,43.27,42.83,44.35
2016-02-08,MRK,42.94,43.27,42.67,43.49,44.15
2016-02-09,MRK,43.27,42.67,42.83,44.2,44.17
2016-02-10,MRK,42.67,42.83,43.49,43.96,44.55
2016-02-11,MRK,42.83,43.49,44.2,43.78,44.24
2016-02-12,MRK,43.49,44.2,43.96,44.35,43.86
2016-02-16,MRK,44.2,43.96,43.78,44.15,45.21
2016-02-17,MRK,43.96,43.78,44.35,44.17,45.66
2016-02-18,MRK,43.78,44.35,44.15,44.55,45.51
2016-02-19,MRK,44.35,44.15,44.17,44.24,45.49
2016-02-22,MRK,44.15,44.17,44.55,43.86,45.98
2016-02-23,MRK,44.17,44.55,44.24,45.21,45.82
2016-02-24,MRK,44.55,44.24,43.86,45.66,45.74
2016-02-25,MRK,44.24,43.86,45.21,45.51,46.33
2016-02-26,MRK,43.86,45.21,45.66,45.49,46.88
2016-02-29,MRK,45.21,45.66,45.51,45.98,46.77
2016-03-01,MRK,45.66,45.51,45.49,45.82,46.19
2016-03-02,MRK,45.51,45.49,45.98,45.74,45.77
2016-03-03,MRK,45.49,45.98,45.82,46.33,45.41
2016-03-04,MRK,45.98,45.82,45.74,46.88,46.04
2016-03-07,MRK,45.82,45.74,46.33,46.77,46.53
2016-03-08,MRK,45.74,46.33,46.88,46.19,46.73
2016-03-09,MRK,46.33,46.88,46.77,45.77,46.77
2016-03-10,MRK,46.88,46.77,46.19,45.41,46.76
2016-03-11,MRK,46.77,46.19,45.77,46.04,46.55
2016-03-14,MRK,46.19,45.77,45.41,46.53,46.98
2016-03-15,MRK,45.77,45.41,46.04,46.73,46.9
2016-03-16,MRK,45.41,46.04,46.53,46.77,46.62
2016-03-17,MRK,46.04,46.53,46.73,46.76,47.32
2016-03-18,MRK,46.53,46.73,46.77,46.55,47.94
2016-03-21,MRK,46.73,46.77,46.76,46.98,47.8
2016-03-22,MRK,46.77,46.76,46.55,46.9,49.02
2016-03-23,MRK,46.76,46.55,46.98,46.62,48.84
2016-03-24,MRK,46.55,46.98,46.9,47.32,48.78
2016-03-28,MRK,46.98,46.9,46.62,47.94,48.51
2016-03-29,MRK,46.9,46.62,47.32,47.8,48.76
2016-03-30,MRK,46.62,47.32,47.94,49.02,49.31
2016-03-31,MRK,47.32,47.94,47.8,48.84,49.74
2016-04-01,MRK,47.94,47.8,49.02,48.78,49.47
2016-04-04,MRK,47.8,49.02,48.84,48.51,49.8
2016-04-05,MRK,49.02,48.84,48.78,48.76,50.1
2016-04-06,MRK,48.84,48.78,48.51,49.31,49.86
2016-04-07,MRK,48.78,48.51,48.76,49.74,49.88
2016-04-08,MRK,48.51,48.76,49.31,49.47,50.0
2016-04-11,MRK,48.76,49.31,49.74,49.8,49.54
2016-04-12,MRK,49.31,49.74,49.47,50.1,49.38
2016-04-13,MRK,49.74,49.47,49.8,49.86,49.62
2016-04-14,MRK,49.47,49.8,50.1,49.88,49.12
2016-04-15,MRK,49.8,50.1,49.86,50.0,48.32
2016-04-18,MRK,50.1,49.86,49.88,49.54,48.73
2016-04-19,MRK,49.86,49.88,50.0,49.38,48.54
2016-04-20,MRK,49.88,50.0,49.54,49.62,48.3
2016-04-21,MRK,50.0,49.54,49.38,49.12,47.66
2016-04-22,MRK,49.54,49.38,49.62,48.32,47.23
2016-04-25,MRK,49.38,49.62,49.12,48.73,47.67
2016-04-26,MRK,49.62,49.12,48.32,48.54,48.18
2016-04-27,MRK,49.12,48.32,48.73,48.3,47.86
2016-04-28,MRK,48.32,48.73,48.54,47.66,47.69
2016-04-29,MRK,48.73,48.54,48.3,47.23,47.48
2016-05-02,MRK,48.54,48.3,47.66,47.67,48.16
2016-05-03,MRK,48.3,47.66,47.23,48.18,47.87
2016-05-04,MRK,47.66,47.23,47.67,47.86,48.17
2016-05-05,MRK,47.23,47.67,48.18,47.69,48.1
2016-05-06,MRK,47.67,48.18,47.86,47.48,48.56
2016-05-09,MRK,48.18,47.86,47.69,48.16,48.39
2016-05-10,MRK,47.86,47.69,47.48,47.87,48.99
2016-05-11,MRK,47.69,47.48,48.16,48.17,49.85
2016-05-12,MRK,47.48,48.16,47.87,48.1,49.69
2016-05-13,MRK,48.16,47.87,48.17,48.56,49.77
2016-05-16,MRK,47.87,48.17,48.1,48.39,49.58
