Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,MSFT,50.18,48.61,47.84,46.0,46.32
2016-02-01,MSFT,48.61,47.84,47.69,45.32,47.19
2016-02-02,MSFT,47.84,47.69,46.0,45.2,48.42
2016-02-03,MSFT,47.69,46.0,45.32,45.59,48.21
2016-02-04,MSFT,46.0,45.32,45.2,45.57,47.87
2016-02-05,MSFT,45.32,45.2,45.59,46.32,48.63
2016-02-08,MSFT,45.2,45.59,45.57,47.19,47.28
2016-02-09,MSFT,45.59,45.57,46.32,48.42,47.44
2016-02-10,MSFT,45.57,46.32,47.19,48.21,48.13
2016-02-11,MSFT,46.32,47.19,48.42,47.87,47.39
2016-02-12,MSFT,47.19,48.42,48.21,48.63,47.0
2016-02-16,MSFT,48.42,48.21,47.87,47.28,48.57
2016-02-17,MSFT,48.21,47.87,48.63,47.44,48.91
2016-02-18,MSFT,47.87,48.63,47.28,48.13,48.36
2016-02-19,MSFT,48.63,47.28,47.44,47.39,48.06
2016-02-22,MSFT,47.28,47.44,48.13,47.0,47.14
2016-02-23,MSFT,47.44,48.13,47.39,48.57,47.71
2016-02-24,MSFT,48.13,47.39,47.0,48.91,48.81
2016-02-25,MSFT,47.39,47.0,48.57,48.36,48.08
2016-02-26,MSFT,47.0,48.57,48.91,48.06,49.02
2016-02-29,MSFT,48.57,48.91,48.36,47.14,49.11
2016-03-01,MSFT,48.91,48.36,48.06,47.71,49.5
2016-03-02,MSFT,48.36,48.06,47.14,48.81,50.2
2016-03-03,MSFT,48.06,47.14,47.71,48.08,50.49
2016-03-04,MSFT,47.14,47.71,48.81,49.02,49.41
2016-03-07,MSFT,47.71,48.81,48.08,49.11,49.75
2016-03-08,MSFT,48.81,48.08,49.02,49.5,49.95
2016-03-09,MSFT,48.08,49.02,49.11,50.2,49.85
2016-03-10,MSFT,49.02,49.11,49.5,50.49,50.07
2016-03-11,MSFT,49.11,49.5,50.2,49.41,49.46
2016-03-14,MSFT,49.5,50.2,50.49,49.75,50.54
2016-03-15,MSFT,50.2,50.49,49.41,49.95,50.85
2016-03-16,MSFT,50.49,49.41,49.75,49.85,51.02
2016-03-17,MSFT,49.41,49.75,49.95,50.07,51.33
2016-03-18,MSFT,49.75,49.95,49.85,49.46,51.2
2016-03-21,MSFT,49.95,49.85,50.07,50.54,50.4
2016-03-22,MSFT,49.85,50.07,49.46,50.85,50.92
2016-03-23,MSFT,50.07,49.46,50.54,51.02,50.31
2016-03-24,MSFT,49.46,50.54,50.85,51.33,50.27
2016-03-28,MSFT,50.54,50.85,51.02,51.2,50.17
2016-03-29,MSFT,50.85,51.02,51.33,50.4,50.48
2016-03-30,MSFT,51.02,51.33,51.2,50.92,51.13
2016-03-31,MSFT,51.33,51.2,50.4,50.31,51.14
2016-04-01,MSFT,51.2,50.4,50.92,50.27,51.4
2016-04-04,MSFT,50.4,50.92,50.31,50.17,52.15
2016-04-05,MSFT,50.92,50.31,50.27,50.48,52.09
2016-04-06,MSFT,50.31,50.27,50.17,51.13,51.35
2016-04-07,MSFT,50.27,50.17,50.48,51.14,51.52
2016-04-08,MSFT,50.17,50.48,51.13,51.4,47.83
2016-04-11,MSFT,50.48,51.13,51.14,52.15,48.13
2016-04-12,MSFT,51.13,51.14,51.4,52.09,47.52
2016-04-13,MSFT,51.14,51.4,52.15,51.35,47.05
2016-04-14,MSFT,51.4,52.15,52.09,51.52,46.09
2016-04-15,MSFT,52.15,52.09,51.35,47.83,46.07
2016-04-18,MSFT,52.09,51.35,51.52,48.13,46.75
2016-04-19,MSFT,51.35,51.52,47.83,47.52,45.98
2016-04-20,MSFT,51.52,47.83,48.13,47.05,46.07
2016-04-21,MSFT,47.83,48.13,47.52,46.09,46.13
2016-04-22,MSFT,48.13,47.52,47.05,46.07,46.55
2016-04-25,MSFT,47.52,47.05,46.09,46.75,46.25
2016-04-26,MSFT,47.05,46.09,46.07,45.98,47.13
2016-04-27,MSFT,46.09,46.07,46.75,46.07,47.16
2016-04-28,MSFT,46.07,46.75,45.98,46.13,47.58
2016-04-29,MSFT,46.75,45.98,46.07,46.55,47.18
2016-05-02,MSFT,45.98,46.07,46.13,46.25,47.88
2016-05-03,MSFT,46.07,46.13,46.55,47.13,46.98
2016-05-04,MSFT,46.13,46.55,46.25,47.16,47.26
2016-05-05,MSFT,46.55,46.25,47.13,47.58,46.81
2016-05-06,MSFT,46.25,47.13,47.16,47.18,47.09
2016-05-09,MSFT,47.13,47.16,47.58,47.88,46.54
2016-05-10,MSFT,47.16,47.58,47.18,46.98,47.99
2016-05-11,MSFT,47.58,47.18,47.88,47.26,48.48
2016-05-12,MSFT,47.18,47.88,46.98,46.81,48.27
2016-05-13,MSFT,47.88,46.98,47.26,47.09,48.67
2016-05-16,MSFT,46.98,47.26,46.81,46.54,49.3
2016-05-17,MSFT,47.26,46.81,47.09,47.99,49.16
2016-05-18,MSFT,46.81,47.09,46.54,48.48,48.82
2016-05-19,MSFT,47.09,46.54,47.99,48.27,48.17
2016-05-20,MSFT,46.54,47.99,48.48,48.67,48.49
2016-05-23,MSFT,47.99,48.48,48.27,49.3,48.46
2016-05-24,MSFT,48.48,48.27,48.67,49.16,48.41
2016-05-25,MSFT,48.27,48.67,49.3,48.82,48.02
2016-05-26,MSFT,48.67,49.3,49.16,48.17,47.89
2016-05-27,MSFT,49.3,49.16,48.82,48.49,46.64
2016-05-31,MSFT,49.16,48.82,48.17,48.46,46.35
2016-06-01,MSFT,48.82,48.17,48.49,48.41,46.22
2016-06-02,MSFT,48.17,48.49,48.46,48.02,46.87
2016-06-03,MSFT,48.49,48.46,48.41,47.89,46.63
2016-06-06,MSFT,48.46,48.41,48.02,46.64,46.57
2016-06-07,MSFT,48.41,48.02,47.89,46.35,47.62
2016-06-08,MSFT,48.02,47.89,46.64,46.22,47.43
2016-06-09,MSFT,47.89,46.64,46.35,46.87,48.29
2016-06-10,MSFT,46.64,46.35,46.22,46.63,46.35
2016-06-13,MSFT,46.35,46.22,46.87,46.57,45.05
2016-06-14,MSFT,46.22,46.87,46.63,47.62,45.99
2016-06-15,MSFT,46.87,46.63,46.57,47.43,47.01
2016-06-16,MSFT,46.63,46.57,47.62,48.29,47.6
2016-06-17,MSFT,46.57,47.62,47.43,46.35,47.59
2016-06-20,MSFT,47.62,47.43,48.29,45.05,47.6
2016-06-21,MSFT,47.43,48.29,46.35,45.99,47.79
2016-06-22,MSFT,48.29,46.35,45.05,47.01,47.79
2016-06-23,MSFT,46.35,45.05,45.99,47.6,48.65
2016-06-24,MSFT,45.05,45.99,47.01,47.59,48.92
2016-06-27,MSFT,45.99,47.01,47.6,47.6,49.49
2016-06-28,MSFT,47.01,47.6,47.59,47.79,49.77
2016-06-29,MSFT,47.6,47.59,47.6,47.79,49.99
2016-06-30,MSFT,47.59,47.6,47.79,48.65,49.95
2016-07-01,MSFT,47.6,47.79,47.79,48.92,50.19
2016-07-05,MSFT,47.79,47.79,48.65,49.49,49.38
2016-07-06,MSFT,47.79,48.65,48.92,49.77,52.01
2016-07-07,MSFT,48.65,48.92,49.49,49.99,51.9
2016-07-08,MSFT,48.92,49.49,49.77,49.95,52.62
2016-07-11,MSFT,49.49,49.77,49.99,50.19,52.77
2016-07-12,MSFT,49.77,49.99,49.95,49.38,52.8
2016-07-13,MSFT,49.99,49.95,50.19,52.01,52.27
2016-07-14,MSFT,49.95,50.19,49.38,51.9,52.29
2016-07-15,MSFT,50.19,49.38,52.01,52.62,52.72
2016-07-18,MSFT,49.38,52.01,51.9,52.77,52.63
2016-07-19,MSFT,52.01,51.9,52.62,52.8,52.63
2016-07-20,MSFT,51.9,52.62,52.77,52.27,52.99
2016-07-21,MSFT,52.62,52.77,52.8,52.29,53.38
2016-07-22,MSFT,52.77,52.8,52.27,52.72,53.91
2016-07-25,MSFT,52.8,52.27,52.29,52.63,54.01
2016-07-26,MSFT,52.27,52.29,52.72,52.63,54.14
2016-07-27,MSFT,52.29,52.72,52.63,52.99,53.97
2016-07-28,MSFT,52.72,52.63,52.63,53.38,54.23
2016-07-29,MSFT,52.63,52.63,52.99,53.91,53.89
2016-08-01,MSFT,52.63,52.99,53.38,54.01,54.06
2016-08-02,MSFT,52.99,53.38,53.91,54.14,53.76
2016-08-03,MSFT,53.38,53.91,54.01,53.97,53.87
2016-08-04,MSFT,53.91,54.01,54.14,54.23,53.91
2016-08-05,MSFT,54.01,54.14,53.97,53.89,53.93
2016-08-08,MSFT,54.14,53.97,54.23,54.06,53.98
2016-08-09,MSFT,53.97,54.23,53.89,53.76,54.18
2016-08-10,MSFT,54.23,53.89,54.06,53.87,54.24
2016-08-11,MSFT,53.89,54.06,53.76,53.91,54.45
2016-08-12,MSFT,54.06,53.76,53.87,53.93,54.31
2016-08-15,MSFT,53.76,53.87,53.91,53.98,54.38
2016-08-16,MSFT,53.87,53.91,53.93,54.18,54.18
2016-08-17,MSFT,53.91,53.93,53.98,54.24,53.78
2016-08-18,MSFT,53.93,53.98,54.18,54.45,53.9
2016-08-19,MSFT,53.98,54.18,54.24,54.31,53.98
2016-08-22,MSFT,54.18,54.24,54.45,54.38,53.92
2016-08-23,MSFT,54.24,54.45,54.31,54.18,53.97
2016-08-24,MSFT,54.45,54.31,54.38,53.78,53.75
2016-08-25,MSFT,54.31,54.38,54.18,53.9,52.61
2016-08-26,MSFT,54.38,54.18,53.78,53.98,53.4
2016-08-29,MSFT,54.18,53.78,53.9,53.92,52.91
2016-08-30,MSFT,53.78,53.9,53.98,53.97,52.66
2016-08-31,MSFT,53.9,53.98,53.92,53.75,53.53
2016-09-01,MSFT,53.98,53.92,53.97,52.61,53.58
2016-09-02,MSFT,53.92,53.97,53.75,53.4,53.29
2016-09-06,MSFT,53.97,53.75,52.61,52.91,53.17
2016-09-07,MSFT,53.75,52.61,53.4,52.66,54.06
2016-09-08,MSFT,52.61,53.4,52.91,53.53,54.12
2016-09-09,MSFT,53.4,52.91,52.66,53.58,53.75
2016-09-12,MSFT,52.91,52.66,53.53,53.29,53.26
2016-09-13,MSFT,52.66,53.53,53.58,53.17,54.24
2016-09-14,MSFT,53.53,53.58,53.29,54.06,54.31
2016-09-15,MSFT,53.58,53.29,53.17,54.12,53.73
2016-09-16,MSFT,53.29,53.17,54.06,53.75,53.91
