Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,NKE,59.79,59.21,59.15,54.12,53.41
2016-02-01,NKE,59.21,59.15,56.96,52.1,54.7
2016-02-02,NKE,59.15,56.96,54.12,52.71,55.06
2016-02-03,NKE,56.96,54.12,52.1,54.34,55.47
2016-02-04,NKE,54.12,52.1,52.71,53.01,56.14
2016-02-05,NKE,52.1,52.71,54.34,53.41,56.96
2016-02-08,NKE,52.71,54.34,53.01,54.7,56.99
2016-02-09,NKE,54.34,53.01,53.41,55.06,57.17
2016-02-10,NKE,53.01,53.41,54.7,55.47,59.05
2016-02-11,NKE,53.41,54.7,55.06,56.14,59.26
2016-02-12,NKE,54.7,55.06,55.47,56.96,58.3
2016-02-16,NKE,55.06,55.47,56.14,56.99,59.56
2016-02-17,NKE,55.47,56.14,56.96,57.17,58.9
2016-02-18,NKE,56.14,56.96,56.99,59.05,58.34
2016-02-19,NKE,56.96,56.99,57.17,59.26,58.14
2016-02-22,NKE,56.99,57.17,59.05,58.3,56.23
2016-02-23,NKE,57.17,59.05,59.26,59.56,56.76
2016-02-24,NKE,59.05,59.26,58.3,58.9,55.36
2016-02-25,NKE,59.26,58.3,59.56,58.34,55.88
2016-02-26,NKE,58.3,59.56,58.9,58.14,57.02
2016-02-29,NKE,59.56,58.9,58.34,56.23,57.71
2016-03-01,NKE,58.9,58.34,58.14,56.76,58.27
2016-03-02,NKE,58.34,58.14,56.23,55.36,58.71
2016-03-03,NKE,58.14,56.23,56.76,55.88,59.96
2016-03-04,NKE,56.23,56.76,55.36,57.02,59.78
2016-03-07,NKE,56.76,55.36,55.88,57.71,61.42
2016-03-08,NKE,55.36,55.88,57.02,58.27,61.59
2016-03-09,NKE,55.88,57.02,57.71,58.71,59.26
2016-03-10,NKE,57.02,57.71,58.27,59.96,58.51
2016-03-11,NKE,57.71,58.27,58.71,59.78,58.21
2016-03-14,NKE,58.27,58.71,59.96,61.42,58.36
2016-03-15,NKE,58.71,59.96,59.78,61.59,58.88
2016-03-16,NKE,59.96,59.78,61.42,59.26,58.34
2016-03-17,NKE,59.78,61.42,61.59,58.51,58.45
2016-03-18,NKE,61.42,61.59,59.26,58.21,56.91
2016-03-21,NKE,61.59,59.26,58.51,58.36,56.63
2016-03-22,NKE,59.26,58.51,58.21,58.88,57.24
2016-03-23,NKE,58.51,58.21,58.36,58.34,57.23
