Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,PG,70.83,70.04,70.81,70.9,70.72
2016-02-01,PG,70.04,70.81,70.46,72.14,71.13
2016-02-02,PG,70.81,70.46,70.9,72.16,71.99
2016-02-03,PG,70.46,70.9,72.14,71.27,71.58
2016-02-04,PG,70.9,72.14,72.16,69.76,71.41
2016-02-05,PG,72.14,72.16,71.27,70.72,71.71
2016-02-08,PG,72.16,71.27,69.76,71.13,71.43
2016-02-09,PG,71.27,69.76,70.72,71.99,71.21
2016-02-10,PG,69.76,70.72,71.13,71.58,71.89
2016-02-11,PG,70.72,71.13,71.99,71.41,70.81
2016-02-12,PG,71.13,71.99,71.58,71.71,70.1
2016-02-16,PG,71.99,71.58,71.41,71.43,70.93
2016-02-17,PG,71.58,71.41,71.71,71.21,72.08
2016-02-18,PG,71.41,71.71,71.43,71.89,72.33
2016-02-19,PG,71.71,71.43,71.21,70.81,72.9
2016-02-22,PG,71.43,71.21,71.89,70.1,72.56
2016-02-23,PG,71.21,71.89,70.81,70.93,72.52
2016-02-24,PG,71.89,70.81,70.1,72.08,72.44
2016-02-25,PG,70.81,70.1,70.93,72.33,71.84
2016-02-26,PG,70.1,70.93,72.08,72.9,71.38
2016-02-29,PG,70.93,72.08,72.33,72.56,70.87
2016-03-01,PG,72.08,72.33,72.9,72.52,71.0
2016-03-02,PG,72.33,72.9,72.56,72.44,71.02
2016-03-03,PG,72.9,72.56,72.52,71.84,72.25
2016-03-04,PG,72.56,72.52,72.44,71.38,72.6
2016-03-07,PG,72.52,72.44,71.84,70.87,72.75
2016-03-08,PG,72.44,71.84,71.38,71.0,72.24
2016-03-09,PG,71.84,71.38,70.87,71.02,72.31
2016-03-10,PG,71.38,70.87,71.0,72.25,72.37
2016-03-11,PG,70.87,71.0,71.02,72.6,72.14
2016-03-14,PG,71.0,71.02,72.25,72.75,72.3
2016-03-15,PG,71.02,72.25,72.6,72.24,72.19
2016-03-16,PG,72.25,72.6,72.75,72.31,71.87
2016-03-17,PG,72.6,72.75,72.24,72.37,72.93
