Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,RTX,48.83,47.63,47.93,48.98,47.93
2016-02-01,RTX,47.63,47.93,49.14,48.39,48.22
2016-02-02,RTX,47.93,49.14,48.98,48.65,49.51
2016-02-03,RTX,49.14,48.98,48.39,48.49,49.64
2016-02-04,RTX,48.98,48.39,48.65,47.21,49.57
2016-02-05,RTX,48.39,48.65,48.49,47.93,51.89
2016-02-08,RTX,48.65,48.49,47.21,48.22,51.46
2016-02-09,RTX,48.49,47.21,47.93,49.51,52.59
2016-02-10,RTX,47.21,47.93,48.22,49.64,55.1
2016-02-11,RTX,47.93,48.22,49.51,49.57,54.88
2016-02-12,RTX,48.22,49.51,49.64,51.89,54.28
2016-02-16,RTX,49.51,49.64,49.57,51.46,53.4
2016-02-17,RTX,49.64,49.57,51.89,52.59,53.67
2016-02-18,RTX,49.57,51.89,51.46,55.1,53.99
2016-02-19,RTX,51.89,51.46,52.59,54.88,54.49
2016-02-22,RTX,51.46,52.59,55.1,54.28,54.45
2016-02-23,RTX,52.59,55.1,54.88,53.4,54.44
2016-02-24,RTX,55.1,54.88,54.28,53.67,54.27
2016-02-25,RTX,54.88,54.28,53.4,53.99,54.03
2016-02-26,RTX,54.28,53.4,53.67,54.49,54.35
2016-02-29,RTX,53.4,53.67,53.99,54.45,54.4
2016-03-01,RTX,53.67,53.99,54.49,54.44,54.1
2016-03-02,RTX,53.99,54.49,54.45,54.27,54.77
2016-03-03,RTX,54.49,54.45,54.44,54.03,55.53
2016-03-04,RTX,54.45,54.44,54.27,54.35,55.65
2016-03-07,RTX,54.44,54.27,54.03,54.4,55.71
2016-03-08,RTX,54.27,54.03,54.35,54.1,55.43
2016-03-09,RTX,54.03,54.35,54.4,54.77,55.68
2016-03-10,RTX,54.35,54.4,54.1,55.53,55.65
2016-03-11,RTX,54.4,54.1,54.77,55.65,55.57
2016-03-14,RTX,54.1,54.77,55.53,55.71,56.25
2016-03-15,RTX,54.77,55.53,55.65,55.43,56.32
2016-03-16,RTX,55.53,55.65,55.71,55.68,56.24
2016-03-17,RTX,55.65,55.71,55.43,55.65,56.16
2016-03-18,RTX,55.71,55.43,55.68,55.57,56.33
2016-03-21,RTX,55.43,55.68,55.65,56.25,56.1
2016-03-22,RTX,55.68,55.65,55.57,56.32,56.39
2016-03-23,RTX,55.65,55.57,56.25,56.24,56.68
2016-03-24,RTX,55.57,56.25,56.32,56.16,56.92
2016-03-28,RTX,56.25,56.32,56.24,56.33,57.38
2016-03-29,RTX,56.32,56.24,56.16,56.1,57.91
2016-03-30,RTX,56.24,56.16,56.33,56.39,58.77
2016-03-31,RTX,56.16,56.33,56.1,56.68,58.81
2016-04-01,RTX,56.33,56.1,56.39,56.92,58.75
2016-04-04,RTX,56.1,56.39,56.68,57.38,59.06
2016-04-05,RTX,56.39,56.68,56.92,57.91,58.99
2016-04-06,RTX,56.68,56.92,57.38,58.77,59.29
2016-04-07,RTX,56.92,57.38,57.91,58.81,59.23
2016-04-08,RTX,57.38,57.91,58.77,58.75,59.38
2016-04-11,RTX,57.91,58.77,58.81,59.06,59.1
2016-04-12,RTX,58.77,58.81,58.75,58.99,58.88
2016-04-13,RTX,58.81,58.75,59.06,59.29,59.49
2016-04-14,RTX,58.75,59.06,58.99,59.23,58.56
2016-04-15,RTX,59.06,58.99,59.29,59.38,58.63
2016-04-18,RTX,58.99,59.29,59.23,59.1,58.63
2016-04-19,RTX,59.29,59.23,59.38,58.88,57.38
2016-04-20,RTX,59.23,59.38,59.1,59.49,56.56
2016-04-21,RTX,59.38,59.1,58.88,58.56,56.34
2016-04-22,RTX,59.1,58.88,59.49,58.63,56.81
2016-04-25,RTX,58.88,59.49,58.56,58.63,56.23
2016-04-26,RTX,59.49,58.56,58.63,57.38,57.39
2016-04-27,RTX,58.56,58.63,58.63,56.56,57.08
2016-04-28,RTX,58.63,58.63,57.38,56.34,57.0
2016-04-29,RTX,58.63,57.38,56.56,56.81,56.33
2016-05-02,RTX,57.38,56.56,56.34,56.23,57.2
2016-05-03,RTX,56.56,56.34,56.81,57.39,56.21
2016-05-04,RTX,56.34,56.81,56.23,57.08,56.15
2016-05-05,RTX,56.81,56.23,57.39,57.0,55.71
2016-05-06,RTX,56.23,57.39,57.08,56.33,56.04
2016-05-09,RTX,57.39,57.08,57.0,57.2,55.93
2016-05-10,RTX,57.08,57.0,56.33,56.21,56.5
2016-05-11,RTX,57.0,56.33,57.2,56.15,56.73
2016-05-12,RTX,56.33,57.2,56.21,55.71,56.78
2016-05-13,RTX,57.2,56.21,56.15,56.04,56.98
2016-05-16,RTX,56.21,56.15,55.71,55.93,56.88
2016-05-17,RTX,56.15,55.71,56.04,56.5,56.75
2016-05-18,RTX,55.71,56.04,55.93,56.73,57.0
2016-05-19,RTX,56.04,55.93,56.5,56.78,56.8
2016-05-20,RTX,55.93,56.5,56.73,56.98,57.32
2016-05-23,RTX,56.5,56.73,56.78,56.88,57.37
2016-05-24,RTX,56.73,56.78,56.98,56.75,57.72
2016-05-25,RTX,56.78,56.98,56.88,57.0,57.86
2016-05-26,RTX,56.98,56.88,56.75,56.8,57.68
2016-05-27,RTX,56.88,56.75,57.0,57.32,57.24
2016-05-31,RTX,56.75,57.0,56.8,57.37,57.23
2016-06-01,RTX,57.0,56.8,57.32,57.72,56.86
2016-06-02,RTX,56.8,57.32,57.37,57.86,57.19
2016-06-03,RTX,57.32,57.37,57.72,57.68,57.23
2016-06-06,RTX,57.37,57.72,57.86,57.24,57.51
2016-06-07,RTX,57.72,57.86,57.68,57.23,57.44
2016-06-08,RTX,57.86,57.68,57.24,56.86,57.32
2016-06-09,RTX,57.68,57.24,57.23,57.19,57.87
2016-06-10,RTX,57.24,57.23,56.86,57.23,55.93
