Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,UNH,107.94,106.07,105.02,104.06,104.15
2016-02-01,UNH,106.07,105.02,106.37,102.48,107.25
2016-02-02,UNH,105.02,106.37,104.06,103.54,110.19
2016-02-03,UNH,106.37,104.06,102.48,105.01,109.4
2016-02-04,UNH,104.06,102.48,103.54,103.04,109.61
2016-02-05,UNH,102.48,103.54,105.01,104.15,112.96
2016-02-08,UNH,103.54,105.01,103.04,107.25,112.84
2016-02-09,UNH,105.01,103.04,104.15,110.19,111.96
2016-02-10,UNH,103.04,104.15,107.25,109.4,112.89
2016-02-11,UNH,104.15,107.25,110.19,109.61,113.01
2016-02-12,UNH,107.25,110.19,109.4,112.96,110.93
2016-02-16,UNH,110.19,109.4,109.61,112.84,113.33
2016-02-17,UNH,109.4,109.61,112.96,111.96,112.96
2016-02-18,UNH,109.61,112.96,112.84,112.89,113.47
2016-02-19,UNH,112.96,112.84,111.96,113.01,113.45
2016-02-22,UNH,112.84,111.96,112.89,110.93,113.41
2016-02-23,UNH,111.96,112.89,113.01,113.33,113.32
2016-02-24,UNH,112.89,113.01,110.93,112.96,113.26
2016-02-25,UNH,113.01,110.93,113.33,113.47,114.19
2016-02-26,UNH,110.93,113.33,112.96,113.45,117.0
2016-02-29,UNH,113.33,112.96,113.47,113.41,117.12
2016-03-01,UNH,112.96,113.47,113.45,113.32,116.77
2016-03-02,UNH,113.47,113.45,113.41,113.26,116.82
2016-03-03,UNH,113.45,113.41,113.32,114.19,116.47
2016-03-04,UNH,113.41,113.32,113.26,117.0,118.52
2016-03-07,UNH,113.32,113.26,114.19,117.12,118.54
2016-03-08,UNH,113.26,114.19,117.0,116.77,119.73
2016-03-09,UNH,114.19,117.0,117.12,116.82,121.39
2016-03-10,UNH,117.0,117.12,116.77,116.47,120.27
2016-03-11,UNH,117.12,116.77,116.82,118.52,120.58
2016-03-14,UNH,116.77,116.82,116.47,118.54,121.43
2016-03-15,UNH,116.82,116.47,118.52,119.73,121.29
2016-03-16,UNH,116.47,118.52,118.54,121.39,120.56
2016-03-17,UNH,118.52,118.54,119.73,120.27,121.51
2016-03-18,UNH,118.54,119.73,121.39,120.58,121.11
2016-03-21,UNH,119.73,121.39,120.27,121.43,118.82
2016-03-22,UNH,121.39,120.27,120.58,121.29,119.74
2016-03-23,UNH,120.27,120.58,121.43,120.56,118.66
2016-03-24,UNH,120.58,121.43,121.29,121.51,117.55
2016-03-28,UNH,121.43,121.29,120.56,121.11,118.15
2016-03-29,UNH,121.29,120.56,121.51,118.82,118.59
2016-03-30,UNH,120.56,121.51,121.11,119.74,119.49
2016-03-31,UNH,121.51,121.11,118.82,118.66,119.7
2016-04-01,UNH,121.11,118.82,119.74,117.55,119.09
2016-04-04,UNH,118.82,119.74,118.66,118.15,119.54
2016-04-05,UNH,119.74,118.66,117.55,118.59,122.05
2016-04-06,UNH,118.66,117.55,118.15,119.49,125.26
2016-04-07,UNH,117.55,118.15,118.59,119.7,124.35
2016-04-08,UNH,118.15,118.59,119.49,119.09,125.45
2016-04-11,UNH,118.59,119.49,119.7,119.54,125.12
2016-04-12,UNH,119.49,119.7,119.09,122.05,125.55
2016-04-13,UNH,119.7,119.09,119.54,125.26,124.21
2016-04-14,UNH,119.09,119.54,122.05,124.35,123.52
2016-04-15,UNH,119.54,122.05,125.26,125.45,123.16
2016-04-18,UNH,122.05,125.26,124.35,125.12,123.55
2016-04-19,UNH,125.26,124.35,125.45,125.55,123.89
2016-04-20,UNH,124.35,125.45,125.12,124.21,123.48
2016-04-21,UNH,125.45,125.12,125.55,123.52,123.75
2016-04-22,UNH,125.12,125.55,124.21,123.16,123.49
2016-04-25,UNH,125.55,124.21,123.52,123.55,124.08
2016-04-26,UNH,124.21,123.52,123.16,123.89,124.93
2016-04-27,UNH,123.52,123.16,123.55,123.48,122.23
2016-04-28,UNH,123.16,123.55,123.89,123.75,121.34
2016-04-29,UNH,123.55,123.89,123.48,123.49,120.65
2016-05-02,UNH,123.89,123.48,123.75,124.08,122.18
2016-05-03,UNH,123.48,123.75,123.49,124.93,121.17
2016-05-04,UNH,123.75,123.49,124.08,122.23,122.06
2016-05-05,UNH,123.49,124.08,124.93,121.34,121.59
2016-05-06,UNH,124.08,124.93,122.23,120.65,122.47
2016-05-09,UNH,124.93,122.23,121.34,122.18,121.98
2016-05-10,UNH,122.23,121.34,120.65,121.17,124.01
2016-05-11,UNH,121.34,120.65,122.18,122.06,124.78
2016-05-12,UNH,120.65,122.18,121.17,121.59,124.37
2016-05-13,UNH,122.18,121.17,122.06,122.47,125.33
2016-05-16,UNH,121.17,122.06,121.59,121.98,125.02
2016-05-17,UNH,122.06,121.59,122.47,124.01,125.82
2016-05-18,UNH,121.59,122.47,121.98,124.78,127.24
2016-05-19,UNH,122.47,121.98,124.01,124.37,127.98
2016-05-20,UNH,121.98,124.01,124.78,125.33,129.21
2016-05-23,UNH,124.01,124.78,124.37,125.02,128.08
2016-05-24,UNH,124.78,124.37,125.33,125.82,131.31
2016-05-25,UNH,124.37,125.33,125.02,127.24,131.58
2016-05-26,UNH,125.33,125.02,125.82,127.98,130.23
2016-05-27,UNH,125.02,125.82,127.24,129.21,129.15
2016-05-31,UNH,125.82,127.24,127.98,128.08,128.95
2016-06-01,UNH,127.24,127.98,129.21,131.31,128.96
2016-06-02,UNH,127.98,129.21,128.08,131.58,130.28
2016-06-03,UNH,129.21,128.08,131.31,130.23,129.37
2016-06-06,UNH,128.08,131.31,131.58,129.15,130.14
2016-06-07,UNH,131.31,131.58,130.23,128.95,129.83
2016-06-08,UNH,131.58,130.23,129.15,128.96,129.56
2016-06-09,UNH,130.23,129.15,128.95,130.28,130.77
2016-06-10,UNH,129.15,128.95,128.96,129.37,128.99
2016-06-13,UNH,128.95,128.96,130.28,130.14,128.82
2016-06-14,UNH,128.96,130.28,129.37,129.83,130.32
2016-06-15,UNH,130.28,129.37,130.14,129.56,132.02
2016-06-16,UNH,129.37,130.14,129.83,130.77,132.66
2016-06-17,UNH,130.14,129.83,129.56,128.99,132.34
2016-06-20,UNH,129.83,129.56,130.77,128.82,133.0
2016-06-21,UNH,129.56,130.77,128.99,130.32,133.77
2016-06-22,UNH,130.77,128.99,128.82,132.02,132.29
2016-06-23,UNH,128.99,128.82,130.32,132.66,132.73
2016-06-24,UNH,128.82,130.32,132.02,132.34,131.84
2016-06-27,UNH,130.32,132.02,132.66,133.0,131.4
2016-06-28,UNH,132.02,132.66,132.34,133.77,132.93
2016-06-29,UNH,132.66,132.34,133.0,132.29,132.32
2016-06-30,UNH,132.34,133.0,133.77,132.73,132.78
2016-07-01,UNH,133.0,133.77,132.29,131.84,132.24
2016-07-05,UNH,133.77,132.29,132.73,131.4,133.97
2016-07-06,UNH,132.29,132.73,131.84,132.93,134.37
2016-07-07,UNH,132.73,131.84,131.4,132.32,134.23
2016-07-08,UNH,131.84,131.4,132.93,132.78,135.0
2016-07-11,UNH,131.4,132.93,132.32,132.24,133.16
2016-07-12,UNH,132.93,132.32,132.78,133.97,133.13
2016-07-13,UNH,132.32,132.78,132.24,134.37,133.11
2016-07-14,UNH,132.78,132.24,133.97,134.23,134.13
2016-07-15,UNH,132.24,133.97,134.37,135.0,134.54
2016-07-18,UNH,133.97,134.37,134.23,133.16,134.83
2016-07-19,UNH,134.37,134.23,135.0,133.13,134.51
2016-07-20,UNH,134.23,135.0,133.16,133.11,134.24
2016-07-21,UNH,135.0,133.16,133.13,134.13,134.08
2016-07-22,UNH,133.16,133.13,133.11,134.54,134.34
2016-07-25,UNH,133.13,133.11,134.13,134.83,133.54
2016-07-26,UNH,133.11,134.13,134.54,134.51,133.25
2016-07-27,UNH,134.13,134.54,134.83,134.24,133.59
2016-07-28,UNH,134.54,134.83,134.51,134.08,134.01
2016-07-29,UNH,134.83,134.51,134.24,134.34,134.24
2016-08-01,UNH,134.51,134.24,134.08,133.54,133.06
2016-08-02,UNH,134.24,134.08,134.34,133.25,132.55
2016-08-03,UNH,134.08,134.34,133.54,133.59,133.14
2016-08-04,UNH,134.34,133.54,133.25,134.01,133.57
2016-08-05,UNH,133.54,133.25,133.59,134.24,133.45
2016-08-08,UNH,133.25,133.59,134.01,133.06,133.5
2016-08-09,UNH,133.59,134.01,134.24,132.55,133.42
2016-08-10,UNH,134.01,134.24,133.06,133.14,131.41
2016-08-11,UNH,134.24,133.06,132.55,133.57,129.0
2016-08-12,UNH,133.06,132.55,133.14,133.45,128.36
2016-08-15,UNH,132.55,133.14,133.57,133.5,128.97
2016-08-16,UNH,133.14,133.57,133.45,133.42,128.59
2016-08-17,UNH,133.57,133.45,133.5,131.41,127.82
2016-08-18,UNH,133.45,133.5,133.42,129.0,127.53
2016-08-19,UNH,133.5,133.42,131.41,128.36,128.35
2016-08-22,UNH,133.42,131.41,129.0,128.97,127.75
2016-08-23,UNH,131.41,129.0,128.36,128.59,127.41
2016-08-24,UNH,129.0,128.36,128.97,127.82,127.84
2016-08-25,UNH,128.36,128.97,128.59,127.53,126.12
2016-08-26,UNH,128.97,128.59,127.82,128.35,127.92
2016-08-29,UNH,128.59,127.82,127.53,127.75,126.43
2016-08-30,UNH,127.82,127.53,128.35,127.41,126.19
2016-08-31,UNH,127.53,128.35,127.75,127.84,128.0
2016-09-01,UNH,128.35,127.75,127.41,126.12,130.7
2016-09-02,UNH,127.75,127.41,127.84,127.92,129.95
2016-09-06,UNH,127.41,127.84,126.12,126.43,129.75
2016-09-07,UNH,127.84,126.12,127.92,126.19,132.06
2016-09-08,UNH,126.12,127.92,126.43,128.0,133.12
2016-09-09,UNH,127.92,126.43,126.19,130.7,132.62
2016-09-12,UNH,126.43,126.19,128.0,129.95,131.88
2016-09-13,UNH,126.19,128.0,130.7,129.75,132.89
2016-09-14,UNH,128.0,130.7,129.95,132.06,132.53
2016-09-15,UNH,130.7,129.95,129.75,133.12,130.56
2016-09-16,UNH,129.95,129.75,132.06,132.62,132.14
2016-09-19,UNH,129.75,132.06,133.12,131.88,130.72
2016-09-20,UNH,132.06,133.12,132.62,132.89,130.41
2016-09-21,UNH,133.12,132.62,131.88,132.53,129.88
2016-09-22,UNH,132.62,131.88,132.89,130.56,128.81
2016-09-23,UNH,131.88,132.89,132.53,132.14,128.99
2016-09-26,UNH,132.89,132.53,130.56,130.72,130.33
2016-09-27,UNH,132.53,130.56,132.14,130.41,127.19
2016-09-28,UNH,130.56,132.14,130.72,129.88,127.52
2016-09-29,UNH,132.14,130.72,130.41,128.81,126.66
2016-09-30,UNH,130.72,130.41,129.88,128.99,126.4
2016-10-03,UNH,130.41,129.88,128.81,130.33,126.6
2016-10-04,UNH,129.88,128.81,128.99,127.19,135.34
2016-10-05,UNH,128.81,128.99,130.33,127.52,136.27
2016-10-06,UNH,128.99,130.33,127.19,126.66,136.93
2016-10-07,UNH,130.33,127.19,127.52,126.4,137.21
2016-10-10,UNH,127.19,127.52,126.66,126.6,136.57
2016-10-11,UNH,127.52,126.66,126.4,135.34,135.71
2016-10-12,UNH,126.66,126.4,126.6,136.27,134.25
2016-10-13,UNH,126.4,126.6,135.34,136.93,133.97
2016-10-14,UNH,126.6,135.34,136.27,137.21,132.47
2016-10-17,UNH,135.34,136.27,136.93,136.57,133.4
2016-10-18,UNH,136.27,136.93,137.21,135.71,131.6
2016-10-19,UNH,136.93,137.21,136.57,134.25,131.18
2016-10-20,UNH,137.21,136.57,135.71,133.97,130.09
2016-10-21,UNH,136.57,135.71,134.25,132.47,129.98
2016-10-24,UNH,135.71,134.25,133.97,133.4,133.96
2016-10-25,UNH,134.25,133.97,132.47,131.6,134.88
2016-10-26,UNH,133.97,132.47,133.4,131.18,133.94
2016-10-27,UNH,132.47,133.4,131.6,130.09,137.93
2016-10-28,UNH,133.4,131.6,131.18,129.98,138.2
2016-10-31,UNH,131.6,131.18,130.09,133.96,143.73
2016-11-01,UNH,131.18,130.09,129.98,134.88,143.69
2016-11-02,UNH,130.09,129.98,133.96,133.94,143.0
2016-11-03,UNH,129.98,133.96,134.88,137.93,142.31
2016-11-04,UNH,133.96,134.88,133.94,138.2,141.06
2016-11-07,UNH,134.88,133.94,137.93,143.73,141.97
2016-11-08,UNH,133.94,137.93,138.2,143.69,143.71
2016-11-09,UNH,137.93,138.2,143.73,143.0,144.92
2016-11-10,UNH,138.2,143.73,143.69,142.31,144.23
2016-11-11,UNH,143.73,143.69,143.0,141.06,143.57
2016-11-14,UNH,143.69,143.0,142.31,141.97,148.75
2016-11-15,UNH,143.0,142.31,141.06,143.71,150.03
2016-11-16,UNH,142.31,141.06,141.97,144.92,152.51
2016-11-17,UNH,141.06,141.97,143.71,144.23,152.31
2016-11-18,UNH,141.97,143.71,144.92,143.57,149.38
2016-11-21,UNH,143.71,144.92,144.23,148.75,149.08
2016-11-22,UNH,144.92,144.23,143.57,150.03,151.05
2016-11-23,UNH,144.23,143.57,148.75,152.51,150.98
2016-11-25,UNH,143.57,148.75,150.03,152.31,151.74
2016-11-28,UNH,148.75,150.03,152.51,149.38,151.14
2016-11-29,UNH,150.03,152.51,152.31,149.08,152.13
2016-11-30,UNH,152.51,152.31,149.38,151.05,151.49
2016-12-01,UNH,152.31,149.38,149.08,150.98,152.21
2016-12-02,UNH,149.38,149.08,151.05,151.74,155.36
2016-12-05,UNH,149.08,151.05,150.98,151.14,153.08
2016-12-06,UNH,151.05,150.98,151.74,152.13,153.13
2016-12-07,UNH,150.98,151.74,151.14,151.49,152.88
2016-12-08,UNH,151.74,151.14,152.13,152.21,153.12
2016-12-09,UNH,151.14,152.13,151.49,155.36,154.49
2016-12-12,UNH,152.13,151.49,152.21,153.08,154.12
2016-12-13,UNH,151.49,152.21,155.36,153.13,152.99
2016-12-14,UNH,152.21,155.36,153.08,152.88,152.61
2016-12-15,UNH,155.36,153.08,153.13,153.12,151.66
2016-12-16,UNH,153.08,153.13,152.88,154.49,153.0
2016-12-19,UNH,153.13,152.88,153.12,154.12,153.43
2016-12-20,UNH,152.88,153.12,154.49,152.99,153.69
2016-12-21,UNH,153.12,154.49,154.12,152.61,153.91
2016-12-22,UNH,154.49,154.12,152.99,151.66,153.47
2016-12-23,UNH,154.12,152.99,152.61,153.0,153.12
2016-12-27,UNH,152.99,152.61,151.66,153.43,153.41
2016-12-28,UNH,152.61,151.66,153.0,153.69,153.86
2016-12-29,UNH,151.66,153.0,153.43,153.91,153.33
2016-12-30,UNH,153.0,153.43,153.69,153.47,152.25
2017-01-03,UNH,153.43,153.69,153.91,153.12,149.48
2017-01-04,UNH,153.69,153.91,153.47,153.41,150.39
2017-01-05,UNH,153.91,153.47,153.12,153.86,150.35
2017-01-06,UNH,153.47,153.12,153.41,153.33,150.74
2017-01-09,UNH,153.12,153.41,153.86,152.25,152.03
2017-01-10,UNH,153.41,153.86,153.33,149.48,152.8
2017-01-11,UNH,153.86,153.33,152.25,150.39,154.23
2017-01-12,UNH,153.33,152.25,149.48,150.35,154.46
2017-01-13,UNH,152.25,149.48,150.39,150.74,153.6
2017-01-17,UNH,149.48,150.39,150.35,152.03,153.61
2017-01-18,UNH,150.39,150.35,150.74,152.8,154.19
2017-01-19,UNH,150.35,150.74,152.03,154.23,152.34
2017-01-20,UNH,150.74,152.03,152.8,154.46,153.39
2017-01-23,UNH,152.03,152.8,154.23,153.6,152.1
2017-01-24,UNH,152.8,154.23,154.46,153.61,152.12
2017-01-25,UNH,154.23,154.46,153.6,154.19,151.92
2017-01-26,UNH,154.46,153.6,153.61,152.34,152.04
2017-01-27,UNH,153.6,153.61,154.19,153.39,152.33
2017-01-30,UNH,153.61,154.19,152.34,152.1,153.51
2017-01-31,UNH,154.19,152.34,153.39,152.12,154.59
2017-02-01,UNH,152.34,153.39,152.1,151.92,155.69
2017-02-02,UNH,153.39,152.1,152.12,152.04,155.08
2017-02-03,UNH,152.1,152.12,151.92,152.33,149.37
2017-02-06,UNH,152.12,151.92,152.04,153.51,152.16
2017-02-07,UNH,151.92,152.04,152.33,154.59,152.16
2017-02-08,UNH,152.04,152.33,153.51,155.69,154.09
2017-02-09,UNH,152.33,153.51,154.59,155.08,154.52
2017-02-10,UNH,153.51,154.59,155.69,149.37,156.72
2017-02-13,UNH,154.59,155.69,155.08,152.16,156.72
2017-02-14,UNH,155.69,155.08,149.37,152.16,159.15
2017-02-15,UNH,155.08,149.37,152.16,154.09,158.55
2017-02-16,UNH,149.37,152.16,152.16,154.52,159.39
2017-02-17,UNH,152.16,152.16,154.09,156.72,159.87
2017-02-21,UNH,152.16,154.09,154.52,156.72,159.49
2017-02-22,UNH,154.09,154.52,156.72,159.15,159.71
2017-02-23,UNH,154.52,156.72,156.72,158.55,159.81
2017-02-24,UNH,156.72,156.72,159.15,159.39,161.68
2017-02-27,UNH,156.72,159.15,158.55,159.87,161.9
2017-02-28,UNH,159.15,158.55,159.39,159.49,160.8
2017-03-01,UNH,158.55,159.39,159.87,159.71,163.39
2017-03-02,UNH,159.39,159.87,159.49,159.81,162.94
2017-03-03,UNH,159.87,159.49,159.71,161.68,161.41
2017-03-06,UNH,159.49,159.71,159.81,161.9,159.8
2017-03-07,UNH,159.71,159.81,161.68,160.8,159.51
2017-03-08,UNH,159.81,161.68,161.9,163.39,158.87
2017-03-09,UNH,161.68,161.9,160.8,162.94,157.22
2017-03-10,UNH,161.9,160.8,163.39,161.41,156.94
2017-03-13,UNH,160.8,163.39,162.94,159.8,156.56
2017-03-14,UNH,163.39,162.94,161.41,159.51,157.28
2017-03-15,UNH,162.94,161.41,159.8,158.87,155.46
2017-03-16,UNH,161.41,159.8,159.51,157.22,156.93
2017-03-17,UNH,159.8,159.51,158.87,156.94,156.0
2017-03-20,UNH,159.51,158.87,157.22,156.56,157.5
2017-03-21,UNH,158.87,157.22,156.94,157.28,156.91
2017-03-22,UNH,157.22,156.94,156.56,155.46,157.29
2017-03-23,UNH,156.94,156.56,157.28,156.93,157.27
2017-03-24,UNH,156.56,157.28,155.46,156.0,157.91
2017-03-27,UNH,157.28,155.46,156.93,157.5,157.4
2017-03-28,UNH,155.46,156.93,156.0,156.91,157.73
2017-03-29,UNH,156.93,156.0,157.5,157.29,157.48
2017-03-30,UNH,156.0,157.5,156.91,157.27,156.9
2017-03-31,UNH,157.5,156.91,157.29,157.91,159.02
2017-04-03,UNH,156.91,157.29,157.27,157.4,160.36
2017-04-04,UNH,157.29,157.27,157.91,157.73,160.99
2017-04-05,UNH,157.27,157.91,157.4,157.48,163.16
2017-04-06,UNH,157.91,157.4,157.73,156.9,162.8
2017-04-07,UNH,157.4,157.73,157.48,159.02,163.91
2017-04-10,UNH,157.73,157.48,156.9,160.36,165.54
2017-04-11,UNH,157.48,156.9,159.02,160.99,165.86
2017-04-12,UNH,156.9,159.02,160.36,163.16,166.1
2017-04-13,UNH,159.02,160.36,160.99,162.8,166.34
2017-04-17,UNH,160.36,160.99,163.16,163.91,166.06
2017-04-18,UNH,160.99,163.16,162.8,165.54,165.64
2017-04-19,UNH,163.16,162.8,163.91,165.86,164.11
2017-04-20,UNH,162.8,163.91,165.54,166.1,165.52
2017-04-21,UNH,163.91,165.54,165.86,166.34,165.62
2017-04-24,UNH,165.54,165.86,166.1,166.06,165.92
2017-04-25,UNH,165.86,166.1,166.34,165.64,164.78
2017-04-26,UNH,166.1,166.34,166.06,164.11,164.92
2017-04-27,UNH,166.34,166.06,165.64,165.52,164.86
