Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,V,71.87,70.92,71.87,69.12,68.18
2016-02-01,V,70.92,71.87,71.19,65.48,68.84
2016-02-02,V,71.87,71.19,69.12,66.02,69.88
2016-02-03,V,71.19,69.12,65.48,67.92,69.11
2016-02-04,V,69.12,65.48,66.02,66.29,69.39
2016-02-05,V,65.48,66.02,67.92,68.18,70.88
2016-02-08,V,66.02,67.92,66.29,68.84,69.99
2016-02-09,V,67.92,66.29,68.18,69.88,69.7
2016-02-10,V,66.29,68.18,68.84,69.11,71.08
2016-02-11,V,68.18,68.84,69.88,69.39,70.56
2016-02-12,V,68.84,69.88,69.11,70.88,70.23
2016-02-16,V,69.88,69.11,69.39,69.99,72.41
2016-02-17,V,69.11,69.39,70.88,69.7,72.08
2016-02-18,V,69.39,70.88,69.99,71.08,71.7
2016-02-19,V,70.88,69.99,69.7,70.56,71.69
2016-02-22,V,69.99,69.7,71.08,70.23,69.79
2016-02-23,V,69.7,71.08,70.56,72.41,68.51
2016-02-24,V,71.08,70.56,70.23,72.08,68.57
2016-02-25,V,70.56,70.23,72.41,71.7,68.12
2016-02-26,V,70.23,72.41,72.08,71.69,69.49
2016-02-29,V,72.41,72.08,71.7,69.79,69.35
2016-03-01,V,72.08,71.7,71.69,68.51,69.76
2016-03-02,V,71.7,71.69,69.79,68.57,70.21
2016-03-03,V,71.69,69.79,68.51,68.12,70.96
2016-03-04,V,69.79,68.51,68.57,69.49,71.58
2016-03-07,V,68.51,68.57,68.12,69.35,71.57
2016-03-08,V,68.57,68.12,69.49,69.76,70.78
2016-03-09,V,68.12,69.49,69.35,70.21,71.7
2016-03-10,V,69.49,69.35,69.76,70.96,71.93
2016-03-11,V,69.35,69.76,70.21,71.58,71.87
2016-03-14,V,69.76,70.21,70.96,71.57,73.13
2016-03-15,V,70.21,70.96,71.58,70.78,74.49
2016-03-16,V,70.96,71.58,71.57,71.7,74.2
2016-03-17,V,71.58,71.57,70.78,71.93,75.27
2016-03-18,V,71.57,70.78,71.7,71.87,75.51
2016-03-21,V,70.78,71.7,71.93,73.13,74.67
2016-03-22,V,71.7,71.93,71.87,74.49,75.87
2016-03-23,V,71.93,71.87,73.13,74.2,75.26
2016-03-24,V,71.87,73.13,74.49,75.27,75.7
2016-03-28,V,73.13,74.49,74.2,75.51,75.5
2016-03-29,V,74.49,74.2,75.27,74.67,76.17
2016-03-30,V,74.2,75.27,75.51,75.87,77.33
2016-03-31,V,75.27,75.51,74.67,75.26,77.93
2016-04-01,V,75.51,74.67,75.87,75.7,77.69
2016-04-04,V,74.67,75.87,75.26,75.5,79.02
2016-04-05,V,75.87,75.26,75.7,76.17,78.34
2016-04-06,V,75.26,75.7,75.5,77.33,78.73
2016-04-07,V,75.7,75.5,76.17,77.93,78.38
2016-04-08,V,75.5,76.17,77.33,77.69,76.75
2016-04-11,V,76.17,77.33,77.93,79.02,75.81
2016-04-12,V,77.33,77.93,77.69,78.34,76.18
2016-04-13,V,77.93,77.69,79.02,78.73,76.41
2016-04-14,V,77.69,79.02,78.34,78.38,75.36
2016-04-15,V,79.02,78.34,78.73,76.75,74.93
2016-04-18,V,78.34,78.73,78.38,75.81,76.12
2016-04-19,V,78.73,78.38,76.75,76.18,74.88
