Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,WBA,71.53,69.68,68.62,67.18,68.86
2016-02-01,WBA,69.68,68.62,68.96,65.13,68.71
2016-02-02,WBA,68.62,68.96,67.18,66.94,70.15
2016-02-03,WBA,68.96,67.18,65.13,67.9,68.71
2016-02-04,WBA,67.18,65.13,66.94,67.47,69.62
2016-02-05,WBA,65.13,66.94,67.9,68.86,70.73
2016-02-08,WBA,66.94,67.9,67.47,68.71,70.66
2016-02-09,WBA,67.9,67.47,68.86,70.15,71.29
2016-02-10,WBA,67.47,68.86,68.71,68.71,71.73
2016-02-11,WBA,68.86,68.71,70.15,69.62,71.42
2016-02-12,WBA,68.71,70.15,68.71,70.73,70.85
2016-02-16,WBA,70.15,68.71,69.62,70.66,72.12
2016-02-17,WBA,68.71,69.62,70.73,71.29,71.32
2016-02-18,WBA,69.62,70.73,70.66,71.73,71.73
2016-02-19,WBA,70.73,70.66,71.29,71.42,71.31
2016-02-22,WBA,70.66,71.29,71.73,70.85,71.04
2016-02-23,WBA,71.29,71.73,71.42,72.12,72.15
2016-02-24,WBA,71.73,71.42,70.85,71.32,73.24
2016-02-25,WBA,71.42,70.85,72.12,71.73,72.4
2016-02-26,WBA,70.85,72.12,71.32,71.31,73.07
2016-02-29,WBA,72.12,71.32,71.73,71.04,73.17
2016-03-01,WBA,71.32,71.73,71.31,72.15,72.99
2016-03-02,WBA,71.73,71.31,71.04,73.24,73.69
2016-03-03,WBA,71.31,71.04,72.15,72.4,74.76
2016-03-04,WBA,71.04,72.15,73.24,73.07,75.34
2016-03-07,WBA,72.15,73.24,72.4,73.17,74.99
2016-03-08,WBA,73.24,72.4,73.07,72.99,74.32
2016-03-09,WBA,72.4,73.07,73.17,73.69,73.9
2016-03-10,WBA,73.07,73.17,72.99,74.76,73.89
2016-03-11,WBA,73.17,72.99,73.69,75.34,74.31
2016-03-14,WBA,72.99,73.69,74.76,74.99,74.51
2016-03-15,WBA,73.69,74.76,75.34,74.32,75.06
2016-03-16,WBA,74.76,75.34,74.99,73.9,75.61
2016-03-17,WBA,75.34,74.99,74.32,73.89,77.82
2016-03-18,WBA,74.99,74.32,73.9,74.31,77.47
2016-03-21,WBA,74.32,73.9,73.89,74.51,74.82
2016-03-22,WBA,73.9,73.89,74.31,75.06,75.12
2016-03-23,WBA,73.89,74.31,74.51,75.61,72.97
2016-03-24,WBA,74.31,74.51,75.06,77.82,73.03
2016-03-28,WBA,74.51,75.06,75.61,77.47,72.84
2016-03-29,WBA,75.06,75.61,77.82,74.82,72.98
2016-03-30,WBA,75.61,77.82,77.47,75.12,72.77
2016-03-31,WBA,77.82,77.47,74.82,72.97,72.93
2016-04-01,WBA,77.47,74.82,75.12,73.03,73.1
2016-04-04,WBA,74.82,75.12,72.97,72.84,72.93
2016-04-05,WBA,75.12,72.97,73.03,72.98,73.45
2016-04-06,WBA,72.97,73.03,72.84,72.77,72.82
2016-04-07,WBA,73.03,72.84,72.98,72.93,72.31
2016-04-08,WBA,72.84,72.98,72.77,73.1,71.93
2016-04-11,WBA,72.98,72.77,72.93,72.93,72.15
2016-04-12,WBA,72.77,72.93,73.1,73.45,72.98
2016-04-13,WBA,72.93,73.1,72.93,72.82,73.2
2016-04-14,WBA,73.1,72.93,73.45,72.31,72.12
2016-04-15,WBA,72.93,73.45,72.82,71.93,71.16
2016-04-18,WBA,73.45,72.82,72.31,72.15,72.31
2016-04-19,WBA,72.82,72.31,71.93,72.98,73.11
2016-04-20,WBA,72.31,71.93,72.15,73.2,73.14
2016-04-21,WBA,71.93,72.15,72.98,72.12,73.11
2016-04-22,WBA,72.15,72.98,73.2,71.16,71.29
2016-04-25,WBA,72.98,73.2,72.12,72.31,72.6
2016-04-26,WBA,73.2,72.12,71.16,73.11,72.63
2016-04-27,WBA,72.12,71.16,72.31,73.14,72.01
2016-04-28,WBA,71.16,72.31,73.11,73.11,71.69
2016-04-29,WBA,72.31,73.11,73.14,71.29,70.56
2016-05-02,WBA,73.11,73.14,73.11,72.6,71.11
2016-05-03,WBA,73.14,73.11,71.29,72.63,68.96
2016-05-04,WBA,73.11,71.29,72.6,72.01,69.01
2016-05-05,WBA,71.29,72.6,72.63,71.69,68.72
2016-05-06,WBA,72.6,72.63,72.01,70.56,69.63
2016-05-09,WBA,72.63,72.01,71.69,71.11,69.0
