Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,WMT,60.12,59.55,59.02,59.67,58.94
2016-02-01,WMT,59.55,59.02,59.16,59.59,58.69
2016-02-02,WMT,59.02,59.16,59.67,58.61,58.88
2016-02-03,WMT,59.16,59.67,59.59,58.6,57.11
2016-02-04,WMT,59.67,59.59,58.61,58.18,57.59
2016-02-05,WMT,59.59,58.61,58.6,58.94,58.45
2016-02-08,WMT,58.61,58.6,58.18,58.69,59.21
2016-02-09,WMT,58.6,58.18,58.94,58.88,59.78
2016-02-10,WMT,58.18,58.94,58.69,57.11,60.6
2016-02-11,WMT,58.94,58.69,58.88,57.59,59.24
2016-02-12,WMT,58.69,58.88,57.11,58.45,59.09
2016-02-16,WMT,58.88,57.11,57.59,59.21,59.19
2016-02-17,WMT,57.11,57.59,58.45,59.78,58.97
2016-02-18,WMT,57.59,58.45,59.21,60.6,58.91
2016-02-19,WMT,58.45,59.21,59.78,59.24,59.48
2016-02-22,WMT,59.21,59.78,60.6,59.09,60.47
2016-02-23,WMT,59.78,60.6,59.24,59.19,60.6
2016-02-24,WMT,60.6,59.24,59.09,58.97,60.59
2016-02-25,WMT,59.24,59.09,59.19,58.91,60.48
2016-02-26,WMT,59.09,59.19,58.97,59.48,60.27
2016-02-29,WMT,59.19,58.97,58.91,60.47,60.44
2016-03-01,WMT,58.97,58.91,59.48,60.6,61.09
2016-03-02,WMT,58.91,59.48,60.47,60.59,61.0
2016-03-03,WMT,59.48,60.47,60.6,60.48,60.52
2016-03-04,WMT,60.47,60.6,60.59,60.27,60.07
2016-03-07,WMT,60.6,60.59,60.48,60.44,60.99
2016-03-08,WMT,60.59,60.48,60.27,61.09,60.9
2016-03-09,WMT,60.48,60.27,60.44,61.0,60.53
2016-03-10,WMT,60.27,60.44,61.09,60.52,61.01
2016-03-11,WMT,60.44,61.09,61.0,60.07,61.12
2016-03-14,WMT,61.09,61.0,60.52,60.99,61.04
2016-03-15,WMT,61.0,60.52,60.07,60.9,61.73
2016-03-16,WMT,60.52,60.07,60.99,60.53,61.45
2016-03-17,WMT,60.07,60.99,60.9,61.01,61.96
2016-03-18,WMT,60.99,60.9,60.53,61.12,62.0
2016-03-21,WMT,60.9,60.53,61.01,61.04,61.59
2016-03-22,WMT,60.53,61.01,61.12,61.73,61.95
2016-03-23,WMT,61.01,61.12,61.04,61.45,61.21
2016-03-24,WMT,61.12,61.04,61.73,61.96,61.07
2016-03-28,WMT,61.04,61.73,61.45,62.0,60.48
2016-03-29,WMT,61.73,61.45,61.96,61.59,61.73
2016-03-30,WMT,61.45,61.96,62.0,61.95,62.05
2016-03-31,WMT,61.96,62.0,61.59,61.21,61.73
2016-04-01,WMT,62.0,61.59,61.95,61.07,61.96
2016-04-04,WMT,61.59,61.95,61.21,60.48,62.68
2016-04-05,WMT,61.95,61.21,61.07,61.73,62.6
2016-04-06,WMT,61.21,61.07,60.48,62.05,62.1
2016-04-07,WMT,61.07,60.48,61.73,61.73,61.44
2016-04-08,WMT,60.48,61.73,62.05,61.96,61.66
2016-04-11,WMT,61.73,62.05,61.73,62.68,62.33
2016-04-12,WMT,62.05,61.73,61.96,62.6,62.18
2016-04-13,WMT,61.73,61.96,62.68,62.1,62.29
2016-04-14,WMT,61.96,62.68,62.6,61.44,61.83
2016-04-15,WMT,62.68,62.6,62.1,61.66,60.0
2016-04-18,WMT,62.6,62.1,61.44,62.33,60.65
2016-04-19,WMT,62.1,61.44,61.66,62.18,60.12
2016-04-20,WMT,61.44,61.66,62.33,62.29,60.29
2016-04-21,WMT,61.66,62.33,62.18,61.83,60.3
2016-04-22,WMT,62.33,62.18,62.29,60.0,61.24
2016-04-25,WMT,62.18,62.29,61.83,60.65,61.87
2016-04-26,WMT,62.29,61.83,60.0,60.12,61.72
2016-04-27,WMT,61.83,60.0,60.65,60.29,60.02
2016-04-28,WMT,60.0,60.65,60.12,60.3,60.42
2016-04-29,WMT,60.65,60.12,60.29,61.24,58.69
2016-05-02,WMT,60.12,60.29,60.3,61.87,59.67
2016-05-03,WMT,60.29,60.3,61.24,61.72,58.84
2016-05-04,WMT,60.3,61.24,61.87,60.02,57.08
2016-05-05,WMT,61.24,61.87,61.72,60.42,62.54
2016-05-06,WMT,61.87,61.72,60.02,58.69,63.14
2016-05-09,WMT,61.72,60.02,60.42,59.67,62.82
2016-05-10,WMT,60.02,60.42,58.69,58.84,63.48
2016-05-11,WMT,60.42,58.69,59.67,57.08,63.7
2016-05-12,WMT,58.69,59.67,58.84,62.54,64.04
2016-05-13,WMT,59.67,58.84,57.08,63.14,63.95
2016-05-16,WMT,58.84,57.08,62.54,62.82,63.97
2016-05-17,WMT,57.08,62.54,63.14,63.48,63.72
2016-05-18,WMT,62.54,63.14,62.82,63.7,64.13
2016-05-19,WMT,63.14,62.82,63.48,64.04,64.05
2016-05-20,WMT,62.82,63.48,63.7,63.95,64.22
2016-05-23,WMT,63.48,63.7,64.04,63.97,64.2
2016-05-24,WMT,63.7,64.04,63.95,63.72,64.42
2016-05-25,WMT,64.04,63.95,63.97,64.13,64.25
2016-05-26,WMT,63.95,63.97,63.72,64.05,64.3
2016-05-27,WMT,63.97,63.72,64.13,64.22,63.75
2016-05-31,WMT,63.72,64.13,64.05,64.2,64.13
2016-06-01,WMT,64.13,64.05,64.22,64.42,64.28
2016-06-02,WMT,64.05,64.22,64.2,64.25,64.44
2016-06-03,WMT,64.22,64.2,64.42,64.3,64.13
2016-06-06,WMT,64.2,64.42,64.25,63.75,64.26
2016-06-07,WMT,64.42,64.25,64.3,64.13,64.59
2016-06-08,WMT,64.25,64.3,63.75,64.28,64.85
2016-06-09,WMT,64.3,63.75,64.13,64.44,65.17
2016-06-10,WMT,63.75,64.13,64.28,64.13,65.04
2016-06-13,WMT,64.13,64.28,64.44,64.26,64.62
2016-06-14,WMT,64.28,64.44,64.13,64.59,64.63
2016-06-15,WMT,64.44,64.13,64.26,64.85,65.49
2016-06-16,WMT,64.13,64.26,64.59,65.17,66.0
2016-06-17,WMT,64.26,64.59,64.85,65.04,65.81
2016-06-20,WMT,64.59,64.85,65.17,64.62,66.11
2016-06-21,WMT,64.85,65.17,65.04,64.63,66.72
