Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,XOM,61.69,60.31,63.46,64.75,66.12
2016-02-01,XOM,60.31,63.46,64.55,65.63,66.27
2016-02-02,XOM,63.46,64.55,64.75,65.34,66.91
2016-02-03,XOM,64.55,64.75,65.63,64.74,67.27
2016-02-04,XOM,64.75,65.63,65.34,64.95,67.31
2016-02-05,XOM,65.63,65.34,64.74,66.12,67.22
2016-02-08,XOM,65.34,64.74,64.95,66.27,66.28
2016-02-09,XOM,64.74,64.95,66.12,66.91,66.52
2016-02-10,XOM,64.95,66.12,66.27,67.27,66.91
2016-02-11,XOM,66.12,66.27,66.91,67.31,66.7
2016-02-12,XOM,66.27,66.91,67.27,67.22,65.4
2016-02-16,XOM,66.91,67.27,67.31,66.28,66.32
2016-02-17,XOM,67.27,67.31,67.22,66.52,67.48
2016-02-18,XOM,67.31,67.22,66.28,66.91,67.23
2016-02-19,XOM,67.22,66.28,66.52,66.7,67.14
2016-02-22,XOM,66.28,66.52,66.91,65.4,68.91
2016-02-23,XOM,66.52,66.91,66.7,66.32,67.42
2016-02-24,XOM,66.91,66.7,65.4,67.48,67.23
2016-02-25,XOM,66.7,65.4,66.32,67.23,67.05
2016-02-26,XOM,65.4,66.32,67.48,67.14,67.06
2016-02-29,XOM,66.32,67.48,67.23,68.91,67.24
2016-03-01,XOM,67.48,67.23,67.14,67.42,67.58
2016-03-02,XOM,67.23,67.14,68.91,67.23,67.62
2016-03-03,XOM,67.14,68.91,67.42,67.05,68.62
2016-03-04,XOM,68.91,67.42,67.23,67.06,68.7
2016-03-07,XOM,67.42,67.23,67.05,67.24,68.23
2016-03-08,XOM,67.23,67.05,67.06,67.58,68.64
2016-03-09,XOM,67.05,67.06,67.24,67.62,68.33
2016-03-10,XOM,67.06,67.24,67.58,68.62,68.52
2016-03-11,XOM,67.24,67.58,67.62,68.7,68.72
2016-03-14,XOM,67.58,67.62,68.62,68.23,68.97
2016-03-15,XOM,67.62,68.62,68.7,68.64,68.96
2016-03-16,XOM,68.62,68.7,68.23,68.33,68.2
2016-03-17,XOM,68.7,68.23,68.64,68.52,67.69
2016-03-18,XOM,68.23,68.64,68.33,68.72,67.85
2016-03-21,XOM,68.64,68.33,68.52,68.97,67.08
2016-03-22,XOM,68.33,68.52,68.72,68.96,67.98
2016-03-23,XOM,68.52,68.72,68.97,68.2,67.21
2016-03-24,XOM,68.72,68.97,68.96,67.69,67.89
2016-03-28,XOM,68.97,68.96,68.2,67.85,67.98
2016-03-29,XOM,68.96,68.2,67.69,67.08,68.82
2016-03-30,XOM,68.2,67.69,67.85,67.98,69.22
2016-03-31,XOM,67.69,67.85,67.08,67.21,69.71
2016-04-01,XOM,67.85,67.08,67.98,67.89,69.33
2016-04-04,XOM,67.08,67.98,67.21,67.98,69.99
2016-04-05,XOM,67.98,67.21,67.89,68.82,70.34
2016-04-06,XOM,67.21,67.89,67.98,69.22,70.82
2016-04-07,XOM,67.89,67.98,68.82,69.71,70.82
2016-04-08,XOM,67.98,68.82,69.22,69.33,71.42
2016-04-11,XOM,68.82,69.22,69.71,69.99,71.26
2016-04-12,XOM,69.22,69.71,69.33,70.34,71.5
2016-04-13,XOM,69.71,69.33,69.99,70.82,72.18
2016-04-14,XOM,69.33,69.99,70.34,70.82,71.83
2016-04-15,XOM,69.99,70.34,70.82,71.42,72.13
2016-04-18,XOM,70.34,70.82,70.82,71.26,72.72
2016-04-19,XOM,70.82,70.82,71.42,71.5,71.89
2016-04-20,XOM,70.82,71.42,71.26,72.18,71.75
2016-04-21,XOM,71.42,71.26,71.5,71.83,71.83
2016-04-22,XOM,71.26,71.5,72.18,72.13,72.22
2016-04-25,XOM,71.5,72.18,71.83,72.72,72.27
2016-04-26,XOM,72.18,71.83,72.13,71.89,73.43
2016-04-27,XOM,71.83,72.13,72.72,71.75,73.07
2016-04-28,XOM,72.13,72.72,71.89,71.83,73.78
2016-04-29,XOM,72.72,71.89,71.75,72.22,72.95
2016-05-02,XOM,71.89,71.75,71.83,72.27,73.7
2016-05-03,XOM,71.75,71.83,72.22,73.43,73.66
2016-05-04,XOM,71.83,72.22,72.27,73.07,73.52
