Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,TRV,96.35,95.47,96.25,95.71,96.79
2016-02-01,TRV,95.47,96.25,96.79,95.08,96.68
2016-02-02,TRV,96.25,96.79,95.71,95.37,98.31
2016-02-03,TRV,96.79,95.71,95.08,95.19,98.01
2016-02-04,TRV,95.71,95.08,95.37,93.44,97.33
2016-02-05,TRV,95.08,95.37,95.19,96.79,98.46
2016-02-08,TRV,95.37,95.19,93.44,96.68,97.16
2016-02-09,TRV,95.19,93.44,96.79,98.31,97.68
2016-02-10,TRV,93.44,96.79,96.68,98.01,98.39
2016-02-11,TRV,96.79,96.68,98.31,97.33,97.66
2016-02-12,TRV,96.68,98.31,98.01,98.46,96.81
2016-02-16,TRV,98.31,98.01,97.33,97.16,99.16
2016-02-17,TRV,98.01,97.33,98.46,97.68,99.23
2016-02-18,TRV,97.33,98.46,97.16,98.39,98.87
2016-02-19,TRV,98.46,97.16,97.68,97.66,99.41
2016-02-22,TRV,97.16,97.68,98.39,96.81,99.42
2016-02-23,TRV,97.68,98.39,97.66,99.16,100.37
2016-02-24,TRV,98.39,97.66,96.81,99.23,100.8
2016-02-25,TRV,97.66,96.81,99.16,98.87,100.98
2016-02-26,TRV,96.81,99.16,99.23,99.41,102.89
2016-02-29,TRV,99.16,99.23,98.87,99.42,102.15
2016-03-01,TRV,99.23,98.87,99.41,100.37,103.15
2016-03-02,TRV,98.87,99.41,99.42,100.8,103.83
2016-03-03,TRV,99.41,99.42,100.37,100.98,104.88
2016-03-04,TRV,99.42,100.37,100.8,102.89,104.81
2016-03-07,TRV,100.37,100.8,100.98,102.15,105.06
2016-03-08,TRV,100.8,100.98,102.89,103.15,105.08
2016-03-09,TRV,100.98,102.89,102.15,103.83,104.93
2016-03-10,TRV,102.89,102.15,103.15,104.88,104.48
2016-03-11,TRV,102.15,103.15,103.83,104.81,105.26
2016-03-14,TRV,103.15,103.83,104.88,105.06,105.4
2016-03-15,TRV,103.83,104.88,104.81,105.08,106.32
2016-03-16,TRV,104.88,104.81,105.06,104.93,105.67
2016-03-17,TRV,104.81,105.06,105.08,104.48,106.3
2016-03-18,TRV,105.06,105.08,104.93,105.26,106.44
2016-03-21,TRV,105.08,104.93,104.48,105.4,105.15
2016-03-22,TRV,104.93,104.48,105.26,106.32,104.97
2016-03-23,TRV,104.48,105.26,105.4,105.67,103.67
2016-03-24,TRV,105.26,105.4,106.32,106.3,104.33
2016-03-28,TRV,105.4,106.32,105.67,106.44,103.92
2016-03-29,TRV,106.32,105.67,106.3,105.15,104.3
2016-03-30,TRV,105.67,106.3,106.44,104.97,104.99
2016-03-31,TRV,106.3,106.44,105.15,103.67,104.45
2016-04-01,TRV,106.44,105.15,104.97,104.33,105.24
2016-04-04,TRV,105.15,104.97,103.67,103.92,105.04
2016-04-05,TRV,104.97,103.67,104.33,104.3,105.27
2016-04-06,TRV,103.67,104.33,103.92,104.99,104.85
2016-04-07,TRV,104.33,103.92,104.3,104.45,98.5
2016-04-08,TRV,103.92,104.3,104.99,105.24,100.36
2016-04-11,TRV,104.3,104.99,104.45,105.04,99.9
2016-04-12,TRV,104.99,104.45,105.24,105.27,99.57
