Date,Ticker,next_close,next_close_2,next_close_3,next_close_5,next_close_10
2016-01-29,VZ,41.59,40.89,41.47,41.76,41.05
2016-02-01,VZ,40.89,41.47,41.32,41.57,41.16
2016-02-02,VZ,41.47,41.32,41.76,41.09,41.23
2016-02-03,VZ,41.32,41.76,41.57,40.95,41.73
2016-02-04,VZ,41.76,41.57,41.09,40.47,41.67
2016-02-05,VZ,41.57,41.09,40.95,41.05,41.84
2016-02-08,VZ,41.09,40.95,40.47,41.16,41.48
2016-02-09,VZ,40.95,40.47,41.05,41.23,41.64
2016-02-10,VZ,40.47,41.05,41.16,41.73,41.87
2016-02-11,VZ,41.05,41.16,41.23,41.67,41.8
2016-02-12,VZ,41.16,41.23,41.73,41.84,41.56
2016-02-16,VZ,41.23,41.73,41.67,41.48,42.16
2016-02-17,VZ,41.73,41.67,41.84,41.64,42.7
2016-02-18,VZ,41.67,41.84,41.48,41.87,42.51
2016-02-19,VZ,41.84,41.48,41.64,41.8,42.45
2016-02-22,VZ,41.48,41.64,41.87,41.56,42.78
2016-02-23,VZ,41.64,41.87,41.8,42.16,42.98
2016-02-24,VZ,41.87,41.8,41.56,42.7,42.88
2016-02-25,VZ,41.8,41.56,42.16,42.51,42.87
2016-02-26,VZ,41.56,42.16,42.7,42.45,43.04
2016-02-29,VZ,42.16,42.7,42.51,42.78,43.05
2016-03-01,VZ,42.7,42.51,42.45,42.98,43.15
2016-03-02,VZ,42.51,42.45,42.78,42.88,43.59
2016-03-03,VZ,42.45,42.78,42.98,42.87,43.94
2016-03-04,VZ,42.78,42.98,42.88,43.04,43.62
2016-03-07,VZ,42.98,42.88,42.87,43.05,43.78
2016-03-08,VZ,42.88,42.87,43.04,43.15,43.59
2016-03-09,VZ,42.87,43.04,43.05,43.59,43.35
2016-03-10,VZ,43.04,43.05,43.15,43.94,43.88
2016-03-11,VZ,43.05,43.15,43.59,43.62,43.75
2016-03-14,VZ,43.15,43.59,43.94,43.78,44.28
2016-03-15,VZ,43.59,43.94,43.62,43.59,44.27
2016-03-16,VZ,43.94,43.62,43.78,43.35,44.31
2016-03-17,VZ,43.62,43.78,43.59,43.88,44.25
2016-03-18,VZ,43.78,43.59,43.35,43.75,44.59
2016-03-21,VZ,43.59,43.35,43.88,44.28,44.32
2016-03-22,VZ,43.35,43.88,43.75,44.27,44.31
2016-03-23,VZ,43.88,43.75,44.28,44.31,43.05
2016-03-24,VZ,43.75,44.28,44.27,44.25,43.2
2016-03-28,VZ,44.28,44.27,44.31,44.59,42.73
2016-03-29,VZ,44.27,44.31,44.25,44.32,43.01
2016-03-30,VZ,44.31,44.25,44.59,44.31,42.47
2016-03-31,VZ,44.25,44.59,44.32,43.05,42.52
2016-04-01,VZ,44.59,44.32,44.31,43.2,42.51
2016-04-04,VZ,44.32,44.31,43.05,42.73,42.83
2016-04-05,VZ,44.31,43.05,43.2,43.01,43.12
2016-04-06,VZ,43.05,43.2,42.73,42.47,42.85
2016-04-07,VZ,43.2,42.73,43.01,42.52,41.42
2016-04-08,VZ,42.73,43.01,42.47,42.51,41.85
2016-04-11,VZ,43.01,42.47,42.52,42.83,42.03
2016-04-12,VZ,42.47,42.52,42.51,43.12,41.76
2016-04-13,VZ,42.52,42.51,42.83,42.85,42.8
2016-04-14,VZ,42.51,42.83,43.12,41.42,42.24
2016-04-15,VZ,42.83,43.12,42.85,41.85,42.18
2016-04-18,VZ,43.12,42.85,41.42,42.03,42.49
2016-04-19,VZ,42.85,41.42,41.85,41.76,41.96
2016-04-20,VZ,41.42,41.85,42.03,42.8,42.09
2016-04-21,VZ,41.85,42.03,41.76,42.24,42.09
2016-04-22,VZ,42.03,41.76,42.8,42.18,42.32
2016-04-25,VZ,41.76,42.8,42.24,42.49,42.29
2016-04-26,VZ,42.8,42.24,42.18,41.96,42.67
2016-04-27,VZ,42.24,42.18,42.49,42.09,42.35
2016-04-28,VZ,42.18,42.49,41.96,42.09,42.61
2016-04-29,VZ,42.49,41.96,42.09,42.32,42.18
2016-05-02,VZ,41.96,42.09,42.09,42.29,42.42
2016-05-03,VZ,42.09,42.09,42.32,42.67,42.14
2016-05-04,VZ,42.09,42.32,42.29,42.35,41.72
2016-05-05,VZ,42.32,42.29,42.67,42.61,41.09
2016-05-06,VZ,42.29,42.67,42.35,42.18,41.12
2016-05-09,VZ,42.67,42.35,42.61,42.42,40.69
2016-05-10,VZ,42.35,42.61,42.18,42.14,41.05
2016-05-11,VZ,42.61,42.18,42.42,41.72,41.27
2016-05-12,VZ,42.18,42.42,42.14,41.09,41.53
2016-05-13,VZ,42.42,42.14,41.72,41.12,41.91
